id, pair
dd001,KCNQ1/KCNH2
dd002,GJB3/GJB2
dd003,GJB3/GJB2
dd004,GJB3/GJB2
dd005,FOXI1/SLC26A4
dd006,ATP2B2/CDH23
dd007,PCDH15/CDH23
dd008,PCDH15/CDH23
dd009,PCDH15/CDH23
dd010,NEK1/DYNC2H1
dd011,NPHS2/NPHS1
dd012,KAL1/PROKR2
dd013,NSMF/FGFR1
dd014,GNRHR/FGFR1
dd015,KAL1/PROKR2
dd016,NSMF/KAL1
dd017,NSMF/TACR3
dd018,FGFR1/PROKR2
dd019,BAAT/TJP2
dd020,BAAT/TJP2
dd021,OTUD4/RNF216
dd022,EDNRB/RET
dd023,PARK7/PINK1
dd024,PARK2/PINK1
dd026,MYOC/CYP1B1
dd027,MYOC/CYP1B1
dd028,MITF/TYR
dd029,TYR/OCA2
dd030,TYR/OCA2
dd031,COL17A1/LAMB3
dd032,FGG/FGA
dd033,SLC3A1/SLC7A9
dd034,SLC3A1/SLC7A9
dd035,SLC3A1/SLC7A9
dd036,SLC3A1/SLC7A9
dd037,FZD4/LRP5
dd038,EMD/LMNA
dd039,EMD/LMNA
dd040,GDAP1/MFN2
dd041,ALAD/CPOX
dd042,C10orf2/POLG
dd043,SCN1A/SCN2A
dd045,GGCX/ABCC6
dd046,PITX2/FOXC1
dd047,KRT5/KRT14
dd048,KCNE2/SCN5A
dd049,FZD4/F5
dd050,HMBS/UROD
dd051,HAMP/HFE
dd052,HAMP/HFE
dd053,KCNE1/KCNQ1
dd054,KCNE1/KCNQ1
dd055,KCNE1/KCNQ1
dd056,KCNE1/KCNQ1
dd058,KCNE1/KCNH2
dd059,KCNE1/KCNH2
dd060,KCNE1/KCNH2
dd061,KCNE1/KCNH2
dd062,KCNE1/KCNH2
dd063,KCNE1/KCNH2
dd064,KCNE1/KCNH2
dd065,KCNE1/SCN5A
dd066,KCNE1/SCN5A
dd067,KCNQ1/KCNH2
dd068,KCNQ1/KCNH2
dd069,SCN5A/KCNH2
dd070,CAV3/KCNH2
dd071,BBS2/MKKS
dd072,BBS2/MKKS
dd073,BBS2/MKKS
dd074,BBS2/MKKS
dd075,BBS2/BBS4
dd076,BBS1/BBS7
dd077,BBS1/BBS2
dd078,BBS1/MKKS
dd079,BBS1/MKKS
dd080,BBS1/BBS2
dd081,BBS1/BBS4
dd082,BBS2/BBS4
dd083,BBS2/BBS4
dd084,BBS1/CCDC28B
dd085,BBS1/CCDC28B
dd086,BBS7/BBS4
dd087,BBS7/BBS2
dd088,CEP41/CEP290
dd089,BBS5/BBS10
dd090,BBS10/MKKS
dd091,BBS10/BBS12
dd092,BBS10/BBS12
dd093,BBS10/MKKS
dd094,BBS12/BBS4
dd095,BBS1/BBS10
dd096,BBS1/BBS10
dd097,BBS2/MKKS
dd098,BBS2/MKKS
dd099,BBS10/BBS2
dd100,BBS2/BBS12
dd101,BBS2/BBS12
dd102,BBS10/MKKS
dd103,BBS10/BBS2
dd104,BBS10/MKKS
dd105,BBS1/BBS2
dd106,BBS1/TTC8
dd107,BBS1/BBS9
dd108,BBS10/BBS12
dd109,BBS10/MKKS
dd110,BBS10/BBS2
dd111,ARL6/TTC8
dd112,BBS7/TTC8
dd113,BBS1/BBS12
dd114,CD2AP/NPHS2
dd115,NPHS2/NPHS1
dd116,WT1/NPHS1
dd117,TYR/SLC45A2
dd118,TYR/SLC45A2
dd119,OCA2/SLC45A2
dd120,TYR/SLC45A2
dd121,TYR/OCA2
dd122,NOD2/IL10RA
dd123,LMBRD1/MTR
dd124,MYO7A/PCDH15
dd125,EDA/WNT10A
dd126,EDA/WNT10A
dd127,EDA/WNT10A
dd128,EDA/WNT10A
dd129,EDA/WNT10A
dd130,EDA/WNT10A
dd131,NPHS2/NPHS1
dd132,NPHS2/NPHS1
dd133,NPHS2/NPHS1
dd134,ATP2B2/MYO6
dd135,PYGM/CPT2
dd136,KAL1/PROKR2
dd137,KAL1/FGFR1
dd138,GNRHR/FGFR1
dd139,KAL1/PROKR2
dd140,KISS1R/FGFR1
dd141,PROK2/PROKR2
dd142,KAL1/FGFR1
dd143,KAL1/CHD7
dd144,KCNQ1/SCN5A
dd145,KCNJ10/SLC26A4
dd146,KCNJ10/SLC26A4
dd147,KCNQ1/SCN5A
dd148,GDNF/RET
dd152,GDAP1/MFN2
dd153,MYO7A/CDH23
dd154,USH1C/CDH23
dd155,MYO7A/GPR98
dd156,DFNB31/GPR98
dd157,MYO7A/USH2A
dd158,EMD/LMNA
dd159,EMD/LMNA
dd160,EMD/LMNA
dd161,PDZD7/USH2A
dd162,PDZD7/USH2A
dd163,PDZD7/GPR98
dd164,FGFR1/IL17RD
dd165,KISS1R/IL17RD
dd166,FGFR1/DUSP6
dd167,SPRY4/DUSP6
dd168,SPRY4/DUSP6
dd169,SPRY4/FGFR1
dd170,FGFR1/FLRT3
