g2p id,gene symbol,gene mim,hgnc id,previous gene symbols,disease name,disease mim,disease MONDO,allelic requirement,cross cutting modifier,confidence,variant consequence,variant types,molecular mechanism,molecular mechanism support,molecular mechanism categorisation,molecular mechanism evidence,phenotypes,publications,additional mined publications,panel,comments,date of last review,review
G2P00027,BRIP1,605882,20473,BACH1; FANCJ; OF,BRIP1-related Fanconi anemia,609054,MONDO:0012187,biallelic_autosomal,,definitive,absent gene product,,loss of function,inferred,,,HP:0000007; HP:0000568; HP:0001263; HP:0001511; HP:0003221; HP:0005528; HP:0007565; HP:0008897; HP:0009778,16116424,16116423; 26968956; 27869810; 33028645; 33224012; 33546375; 37582649; 40649708,DD; Cancer,,2025-01-28 23:03:26+00:00,
G2P00049,XPC,613208,12816,RAD4; XPCC,XPC-related xeroderma pigmentosum,278720,MONDO:0010211,biallelic_autosomal,,definitive,absent gene product,,loss of function,inferred,,,HP:0000007; HP:0000491; HP:0000509; HP:0000613; HP:0000621; HP:0000656; HP:0000992; HP:0001009; HP:0001010; HP:0001029; HP:0002671; HP:0003079; HP:0004334; HP:0006739; HP:0011463; HP:0012056,11121128; 11511294; 14662655; 19478817; 8298653; 9804340,10604143; 20816579; 23143338; 23984341; 25256075; 26227012; 27387384; 27982466; 28255305; 28615033; 29356054; 30101995; 31923348; 33672602; 35235204; 38003022; 38422792; 40252274,DD; Skin; Cancer,,2017-09-01 16:19:16+00:00,
G2P00165,NOP10,606471,14378,MGC70651; NOLA3; NOP10P,NOP10-related dyskeratosis congenita,224230,MONDO:0009136,biallelic_autosomal,,moderate,absent gene product; altered gene product structure,inframe_deletion; inframe_insertion; missense_variant,loss of function,inferred,,,HP:0000007; HP:0000252; HP:0000579; HP:0000653; HP:0000670; HP:0000691; HP:0000939; HP:0000953; HP:0001249; HP:0001395; HP:0001792; HP:0001873; HP:0001915; HP:0002043; HP:0002164; HP:0002165; HP:0002206; HP:0002209; HP:0002745; HP:0003812; HP:0004808; HP:0005528; HP:0009926; HP:0012182; HP:0030438; HP:0030442,17507419,17825470; 19327580; 22160078; 30047419; 32139460; 32554502,DD; Cancer,,2025-03-14 11:49:26+00:00,
G2P00177,DDB2,600811,2718,DDBB; FLJ34321; UV-DDB2; XPE,"DDB2-related xeroderma pigmentosum, group E, ddb-negative subtype",278740,MONDO:0010213,biallelic_autosomal,,definitive,absent gene product,,loss of function,inferred,,,HP:0000007; HP:0000491; HP:0000509; HP:0000613; HP:0000621; HP:0000656; HP:0000992; HP:0001009; HP:0001029; HP:0002671; HP:0002861; HP:0003079; HP:0004334; HP:0006739,10469312; 12812979; 8798680,29169765; 32530099; 34135938,DD; Skin; Cancer,,2017-09-01 16:19:15+00:00,
G2P00181,ERCC3,133510,3435,BTF2; RAD25; SSL2; XPB,"ERCC3-related xeroderma pigmentosum, group B",610651,MONDO:0012531,biallelic_autosomal,,definitive,absent gene product,,loss of function,inferred,,,HP:0000007; HP:0000135; HP:0000252; HP:0000271; HP:0000407; HP:0000518; HP:0000568; HP:0000580; HP:0000648; HP:0000762; HP:0000765; HP:0000992; HP:0001019; HP:0001249; HP:0001251; HP:0001272; HP:0001347; HP:0001371; HP:0001480; HP:0001518; HP:0001808; HP:0002099; HP:0002119; HP:0002135; HP:0002299; HP:0002671; HP:0002719; HP:0003224; HP:0004315; HP:0004322; HP:0004334; HP:0005214; HP:0005328; HP:0006739; HP:0007479; HP:0007485; HP:0011400; HP:0012056,16947863; 4811796; 8408834,28913623; 30580289; 7746858; 8304337,DD; Skin; Cancer,,2024-08-20 14:10:55+00:00,
G2P00410,NF1,613113,7765,,NF1-related neurofibromatosis,162200,MONDO:0018975,monoallelic_autosomal,,definitive,absent gene product,,loss of function,inferred,,,HP:0000006; HP:0000028; HP:0000119; HP:0000152; HP:0000238; HP:0000256; HP:0000272; HP:0000286; HP:0000316; HP:0000358; HP:0000369; HP:0000465; HP:0000470; HP:0000478; HP:0000494; HP:0000501; HP:0000508; HP:0000707; HP:0000750; HP:0000818; HP:0000822; HP:0000915; HP:0000917; HP:0000924; HP:0000957; HP:0000997; HP:0001067; HP:0001250; HP:0001256; HP:0001324; HP:0001328; HP:0001480; HP:0001507; HP:0001548; HP:0001574; HP:0001626; HP:0001642; HP:0001684; HP:0001909; HP:0001920; HP:0002162; HP:0002385; HP:0002410; HP:0002414; HP:0002521; HP:0002650; HP:0002664; HP:0002666; HP:0002857; HP:0002858; HP:0002859; HP:0002864; HP:0002897; HP:0002967; HP:0003002; HP:0003011; HP:0004322; HP:0004482; HP:0005272; HP:0006851; HP:0007340; HP:0007565; HP:0009592; HP:0009732; HP:0009734; HP:0009735; HP:0009736; HP:0009737; HP:0010302; HP:0030052; HP:0040064; HP:0100697; HP:0100723,10677298; 10712197; 11258625; 11389087; 11704931; 12438263; 12483293; 12707950; 1302608; 13680360; 1377942; 15520408; 15523642; 1568247; 15948193; 1719426; 1745350; 1757093; 1783401; 1937470; 19449407; 19845691; 2134734; 2516456; 2517530; 2517531; 2517532; 30308447; 3141830; 3152467; 7485153; 7542886; 7550323; 7607663; 7633431; 7649559; 7655472; 7746388; 8317503; 8664912; 9003501; 9529361; 9668168,35187958; 36803641; 37038321; 37401974; 37460655; 37599594; 37635082; 37993698; 38318699; 38375876; 38469797; 38825366; 38862389; 38987187; 39105762; 39140979; 39225241; 39254838; 39270790; 39366539; 39380389; 39559002; 39608493; 39643432; 39674537; 39676297; 39722341; 39730180; 39759190; 39764141; 39773869; 39799317; 39848286; 39857730; 39868496; 39896307; 39906425; 39925447; 39932063; 39981478; 40009967; 40033916; 40051696; 40054547; 40068833; 40087579; 40113446; 40120336; 40133996; 40139761; 40167261; 40186343; 40209081; 40211109; 40225101; 40234075; 40235035; 40237330; 40244956; 40247846; 40248182; 40282482; 40289159; 40298431; 40299482; 40305081; 40327120; 40338995; 40342626; 40347251; 40357806; 40361417; 40390741; 40393479; 40402550; 40408086; 40410838; 40412721; 40417234; 40438280; 40467291; 40471421; 40493756; 40520921; 40551856; 40568288; 40591546; 40617948; 40625468; 40642196; 40686803; 40695499; 40697342; 40703410; 40703627; 40706993; 40707315; 40709404; 40736848; 40741214,DD; Skin; Cancer; Skeletal,,2023-05-24 09:07:27+00:00,
G2P00413,PTEN,601728,9588,BZS; MHAM; MMAC1; PTEN1; TEP1,PTEN-related hamartoma tumour syndrome (Cowden syndrome),158350,MONDO:0008021,monoallelic_autosomal,,definitive,absent gene product; altered gene product structure,frameshift_variant; missense_variant; regulatory_region_variant; splice_region_variant; stop_gained; whole_partial_gene_deletion,loss of function,evidence,destabilising LOF:evidence,"32350270 -> function: biochemical, protein expression; functional_alteration: non patient cells; models: non-human model organism, cell culture model",HP:0000006; HP:0000034; HP:0000040; HP:0000138; HP:0000160; HP:0000218; HP:0000221; HP:0000256; HP:0000327; HP:0000337; HP:0000343; HP:0000347; HP:0000365; HP:0000486; HP:0000494; HP:0000518; HP:0000538; HP:0000545; HP:0000646; HP:0000717; HP:0000750; HP:0000767; HP:0000771; HP:0000821; HP:0000836; HP:0000853; HP:0000854; HP:0000872; HP:0000956; HP:0000957; HP:0000972; HP:0000995; HP:0001012; HP:0001014; HP:0001028; HP:0001031; HP:0001102; HP:0001249; HP:0001250; HP:0001252; HP:0001256; HP:0001263; HP:0001382; HP:0001513; HP:0001626; HP:0001943; HP:0002007; HP:0002080; HP:0002194; HP:0002253; HP:0002558; HP:0002573; HP:0002576; HP:0002650; HP:0002808; HP:0002858; HP:0002890; HP:0003002; HP:0003005; HP:0003196; HP:0003198; HP:0003517; HP:0003593; HP:0003621; HP:0004099; HP:0004390; HP:0004422; HP:0004481; HP:0005280; HP:0005490; HP:0005584; HP:0006740; HP:0007074; HP:0007873; HP:0008897; HP:0010609; HP:0012032; HP:0012056; HP:0012114; HP:0012844; HP:0012846; HP:0040198; HP:0100646; HP:0500009,10051160; 10353779; 10777358; 11238682; 11536076; 12844284; 15805158; 17286265; 23160955; 32350270; 9140396; 9241266; 9259288; 9425889; 9467011; 9832031; 9832032,33227300; 33595755; 34106409; 34168854; 34184188; 34206559; 34259361; 34396903; 34409504; 34489750; 34524588; 34754688; 34763900; 34937768; 34944785; 34983360; 34984555; 35006113; 35106660; 35187600; 35241692; 35278038; 35471415; 35487765; 35487791; 35780606; 35913038; 35988965; 36082652; 36122333; 36148582; 36151877; 36162030; 36607858; 36672590; 36690897; 36717037; 36977604; 37008396; 37041709; 37090027; 37093598; 37205954; 37252796; 37336910; 37361526; 37398799; 37409736; 37414745; 37442961; 37451289; 37534462; 37606231; 37680909; 37800459; 37819013; 37895258; 37900693; 37979468; 38501559; 38505951; 38513346; 38546160; 38697906; 38763900; 38792950; 38845672; 39044874; 39048366; 39080810; 39119301; 39129943; 39156315; 39166269; 39250745; 39256443; 39526825; 39550275; 39610113; 39643599; 39644587; 39799389; 39812526; 39851805; 39920402; 39988627; 40070859; 40098637; 40120468; 40208419; 40230416; 40244911; 40261085; 40282429; 40407579; 40469941; 40478255; 40498496; 40564777; 40715013,DD; Cancer,,2025-05-08 12:16:01+00:00,
G2P00443,ERCC4,133520,3436,FANCQ; RAD1; XPF,ERCC4-related Fanconi anemia,615272,MONDO:0014108,biallelic_autosomal,,strong,absent gene product,,loss of function,inferred,,,HP:0000007; HP:0000252; HP:0000365; HP:0000490; HP:0000505; HP:0000648; HP:0000822; HP:0000958; HP:0000992; HP:0001256; HP:0001541; HP:0001620; HP:0002011; HP:0002370; HP:0002910; HP:0003079; HP:0003510; HP:0004326; HP:0006297; HP:0007485; HP:0007495; HP:0007587; HP:0008069; HP:0200034,17183314; 23623386; 23623389; 3372781; 8797827,16116422; 29105242; 29325523; 29403087; 30047418; 34135938; 36816046; 38644609; 39652212; 39769235,DD; Cancer,,2025-01-28 23:05:02+00:00,
G2P00486,EXT2,608210,3513,SOTV,EXT2-related multiple exostoses,133701,MONDO:0007586,monoallelic_autosomal,,definitive,absent gene product,,loss of function,inferred,,,HP:0000006; HP:0000896; HP:0000918; HP:0002318; HP:0002812; HP:0002857; HP:0003068; HP:0003105; HP:0003276; HP:0003406; HP:0003621; HP:0004322; HP:0006765; HP:0010049,9326317,10429361; 10671060; 10679937; 10738008; 11170095; 11432960; 11731209; 14872200; 15446535; 16088908; 16638657; 17301954; 17676624; 18373409; 18386362; 18666861; 19309273; 19344451; 19571069; 19839753; 20872591; 21039224; 21499719; 22820392; 23439489; 23629877; 25230886; 25520924; 26246518; 26690531; 26961984; 27748933; 27920806; 28466453; 28922105; 29277722; 29529714; 29541207; 30075207; 30105120; 30288735; 30334991; 30730578; 30806661; 31096510; 31853203; 32293802; 32522262; 33596140; 34280007; 34403521; 34956317; 35806987; 36247276; 36360300; 39927251; 9463333; 9489802,DD; Cancer; Skeletal,,2023-05-24 09:07:28+00:00,
G2P00680,RET,164761,9967,CDHF12; CDHR16; HSCR1; MEN2A; MEN2B; MTC1; PTC; RET51,RET-related multiple endocrine neoplasia IIB,162300,MONDO:0008082,monoallelic_autosomal,potential secondary finding; restricted mutation set,definitive,altered gene product structure,inframe_deletion; inframe_insertion; missense_variant,gain of function,inferred,,,HP:0000006; HP:0000179; HP:0000218; HP:0000574; HP:0000767; HP:0000951; HP:0001252; HP:0001263; HP:0001382; HP:0001519; HP:0001531; HP:0001761; HP:0002014; HP:0002019; HP:0002251; HP:0002253; HP:0002650; HP:0002666; HP:0002808; HP:0002865; HP:0003005; HP:0003198; HP:0003307; HP:0003528; HP:0003639; HP:0005994; HP:0006461; HP:0008208,11788682,21986619; 22429913; 22500673; 22729463; 22734615; 23114404; 23225389; 23242522; 23330657; 23455356; 23563004; 23617071; 23652676; 23663121; 23723040; 23744408; 23749818; 24331334; 24361808; 24613280; 24684035; 24784869; 24969991; 25027091; 25191209; 25759805; 26033033; 26071011; 26209941; 26494389; 26732158; 26850131; 27273837; 27594983; 27704398; 27717313; 27994876; 28435794; 28469506; 28578594; 28747092; 28799054; 28874394; 28951487; 28983374; 29049491; 29261189; 29336779; 29455549; 30013307; 30113649; 30135345; 30374431; 30536424; 30693022; 31471357; 31666091; 32190804; 32388798; 32802527; 32914730; 32948239; 33191720; 33450337; 33456245; 33754314; 33814184; 33827484; 34092334; 34156257; 34267909; 34307848; 34446941; 34987852; 35117658; 35341763; 35569068; 35990038; 36857021; 37193168; 37465121; 37588200; 37900832; 37908885; 38136118; 38339246; 38562350; 38817239; 39475814; 39512978; 39790937; 39839784; 39913251; 39926264; 40102260; 40110286; 40128946; 40340909; 40656247; 40671763,DD; Skin; Cancer,,2025-01-21 15:02:57+00:00,
G2P00718,WRAP53,612661,25522,FLJ10385; TCAB1; WDR79,WRAP53-related dyskeratosis congenita,613988,MONDO:0013520,biallelic_autosomal,,strong,absent gene product; altered gene product structure,inframe_deletion; inframe_insertion; missense_variant,loss of function,inferred,,,HP:0000007; HP:0001000; HP:0001876; HP:0002164; HP:0002860; HP:0004808; HP:0005528; HP:0008404; HP:0012182; HP:0030438; HP:0030442,21205863; 29514627; 32303682; 34599657,30047419; 34484289; 34649303; 37184208,DD; Cancer,,2025-03-14 11:32:41+00:00,
G2P00733,EXT1,608177,3512,LGCR; LGS; TTV,EXT1-related multiple exostoses,133700,MONDO:0007585,monoallelic_autosomal,,definitive,absent gene product,,loss of function,inferred,,,HP:0000006; HP:0000076; HP:0000252; HP:0000365; HP:0000400; HP:0000414; HP:0000431; HP:0000490; HP:0000577; HP:0000750; HP:0000896; HP:0000918; HP:0001159; HP:0001249; HP:0001252; HP:0001382; HP:0001530; HP:0001760; HP:0001808; HP:0002002; HP:0002209; HP:0002318; HP:0002650; HP:0002788; HP:0002812; HP:0002857; HP:0003068; HP:0003105; HP:0003276; HP:0003406; HP:0003621; HP:0003691; HP:0003764; HP:0004322; HP:0005039; HP:0005743; HP:0006765; HP:0007595; HP:0010049; HP:0010230; HP:0030431,15253765; 7550340; 8981950; 9326317,10429361; 10679937; 11170095; 11180615; 11432960; 12032595; 12457403; 14556251; 15446535; 16088908; 16638657; 16879194; 17301954; 1757967; 17676624; 18216313; 18330718; 18373409; 18386367; 18478595; 18810975; 19309273; 19344451; 19571069; 19839753; 20025490; 20101682; 20618940; 21039224; 21488238; 21499719; 21948702; 22040554; 22315192; 22820392; 23439489; 23629877; 23832104; 23913778; 25116165; 25230886; 25421355; 25520924; 26269715; 26522117; 26690531; 26839764; 26961984; 27920806; 28053536; 28466453; 28922105; 29277722; 29529714; 30334991; 30632316; 30664192; 30806661; 31096510; 31853203; 31976145; 32293802; 32296131; 32522262; 33209724; 33596140; 34012378; 34956317; 35806987; 36247276; 36360300; 36443465; 36676722; 37217936; 39336760; 39690272; 39927251; 9150727; 9463333; 9521425,DD; Cancer; Skeletal,,2023-05-24 09:07:28+00:00,
G2P01011,GATA2,137295,4171,NFE1B,GATA2-related Emberger syndrome,614038,,monoallelic_autosomal,,definitive,absent gene product,,loss of function,inferred,,,HP:0000006; HP:0000286; HP:0000465; HP:0000601; HP:0001004; HP:0001182; HP:0001876; HP:0002863,20803646; 21242295; 21670465; 21892158; 22996659; 24227816; 2543925,25397911; 25619630; 25676417; 25739845; 25879889; 25955867; 26252413; 26395816; 26710799; 26716079; 26748574; 27130863; 27232273; 27248996; 27481672; 27680514; 27799394; 27894982; 28179280; 28259234; 28271814; 28373026; 28440875; 28495695; 28495697; 28825694; 28947108; 29156497; 29178327; 29230432; 29375553; 29567757; 29588856; 29595235; 29605372; 29680795; 29724903; 29882021; 29906059; 29942189; 29988375; 30030275; 30101490; 30222640; 30303925; 30478525; 30573048; 30578959; 30697248; 30894283; 30928982; 30933029; 31106410; 31246134; 31322613; 31679001; 31933136; 32286542; 32433473; 32497548; 32558139; 32643807; 32682923; 33066218; 33363905; 33370941; 33410496; 33684095; 33714240; 33726626; 33759087; 34051752; 34387894; 34638133; 34670919; 34713225; 34893945; 35096640; 35273927; 35603181; 35769478; 36119727; 36357187; 36455197; 36726998; 36900380; 36937639; 37317175; 37325673; 37595058; 37680631; 37799757; 37837580; 38290790; 38563709; 39890964; 39976744; 40153067; 40311177; 40340131,DD; Cancer,,2016-11-29 13:19:27+00:00,
G2P01104,ERCC5,133530,3437,ERCM2; XPGC,"ERCC5-related xeroderma pigmentosum, group G",278780,MONDO:0010216,biallelic_autosomal,,definitive,absent gene product,,loss of function,inferred,,,HP:0000007; HP:0000152; HP:0000252; HP:0000478; HP:0000518; HP:0000568; HP:0000707; HP:0000924; HP:0000992; HP:0001251; HP:0001257; HP:0001337; HP:0001507; HP:0001510; HP:0001574; HP:0001761; HP:0001939; HP:0002671; HP:0003011; HP:0003079; HP:0006739; HP:0012056; HP:0040064,11219864; 11228268; 11841555; 12060391; 23255472; 698096; 7951246; 8818951; 9096355,11764181; 24354460; 24700531; 25256075; 27051686; 27982466; 29130490; 30838033; 33219753; 33766032; 37848274; 40626125; 8317483,DD; Eye; Skin; Cancer,,2024-08-20 14:15:43+00:00,
G2P01207,NHP2,606470,14377,FLJ20479; NOLA2,NHP2-related dyskeratosis congenita,613987,MONDO:0009136,biallelic_autosomal,,moderate,absent gene product; altered gene product structure,inframe_deletion; inframe_insertion; missense_variant,loss of function,inferred,,,HP:0000007; HP:0000029; HP:0001249; HP:0001394; HP:0001510; HP:0001873; HP:0001876; HP:0002164; HP:0002514; HP:0004808; HP:0005528; HP:0008404; HP:0012182; HP:0030438; HP:0030442,18523010; 30472699; 31985013; 37440454,20493861; 22160078; 27824607; 40073202; 40352450,DD; Cancer,,2025-03-14 11:48:48+00:00,
G2P01245,PMS2,600259,9122,H_DJ0042M02.9; HNPCC4; MLH4; PMS-2; PMSL2,PMS2-related constitutional mismatch repair deficiency syndrome (CMMRD),619101,MONDO:0030843,biallelic_autosomal,,definitive,absent gene product,,loss of function,inferred,,,HP:0000007; HP:0000707; HP:0000957; HP:0000997; HP:0001438; HP:0001574; HP:0001871; HP:0001909; HP:0002664; HP:0002665; HP:0002671; HP:0002715; HP:0002859; HP:0002885; HP:0002888; HP:0003006; HP:0003011; HP:0004377; HP:0005584; HP:0009725; HP:0012114; HP:0012174; HP:0025031; HP:0030692; HP:0040274; HP:0040275,26318770; 7661930,21233718; 21376568; 21636617; 21674763; 22461402; 22577899; 22619739; 22846734; 22848017; 22892529; 23523847; 23582141; 23729388; 23837913; 24068316; 24072394; 24440087; 24443998; 24556086; 24710284; 24802709; 25209657; 25307252; 25430799; 25489705; 25534383; 25691505; 25761717; 25773960; 25883011; 26248088; 26293676; 26437257; 26544533; 26743104; 26746812; 26781822; 26808570; 27017609; 27017610; 27037742; 27435373; 27476653; 27601186; 28248820; 28334867; 28381238; 28503822; 28514183; 28562508; 28572265; 28600700; 29255760; 29286535; 29690800; 30013564; 30155321; 30415209; 30614234; 30631111; 30764633; 31273487; 31274699; 31319185; 31470178; 31501241; 31599855; 31815888; 31845022; 32141610; 32436921; 32773772; 32876971; 33247381; 33335961; 33530354; 33934415; 34221829; 34247610; 34626046; 34787334; 36360190; 36414603; 36731423; 36743879; 36801211; 36897649; 36942845; 37197747; 37422136; 37706607; 37775264; 37879520; 38552658; 38860976; 38912246; 39296872; 39797698; 39859102; 40546006,DD; Skin; Cancer,,2017-09-01 16:19:16+00:00,
G2P01270,TSC1,605284,12362,HAMARTIN; KIAA0243; LAM; TSC,TSC1-related tuberous sclerosis,191100,MONDO:0008612,monoallelic_autosomal,,definitive,absent gene product; altered gene product structure,,loss of function,inferred,,,HP:0000006; HP:0000107; HP:0000169; HP:0000717; HP:0000821; HP:0000826; HP:0000957; HP:0001249; HP:0001328; HP:0001482; HP:0001716; HP:0002086; HP:0002514; HP:0002888; HP:0003812; HP:0005584; HP:0006772; HP:0007018; HP:0009592; HP:0009594; HP:0009716; HP:0009717; HP:0009718; HP:0009719; HP:0009720; HP:0009721; HP:0009722; HP:0009724; HP:0009727; HP:0009729; HP:0009734; HP:0010615; HP:0010762; HP:0011097; HP:0011798; HP:0200024,10053179; 10340649; 10823953; 18830229; 9242607,24495558; 24792497; 25927202; 26231267; 26408672; 26793902; 27406250; 27859028; 28178598; 28222202; 28496353; 28623545; 28663780; 28762286; 28771801; 28828560; 28887784; 28978585; 29052576; 29196670; 29281825; 29500070; 29572283; 29740858; 29881807; 29926239; 29932062; 29941212; 30185235; 30279084; 30325570; 30838928; 30868117; 30976976; 31018109; 31140686; 31525612; 31708865; 31855466; 32097503; 32313033; 32325422; 32479982; 32519125; 32555378; 32654957; 32765227; 32854808; 32953421; 33181865; 33298910; 33528079; 33578443; 33693890; 33834938; 34017900; 34298906; 34433328; 34466799; 34480426; 34513752; 34534018; 34730894; 34849272; 34993123; 35022853; 35430095; 35440050; 35596872; 35712104; 36232477; 36585068; 37063680; 37370942; 37536923; 37919037; 37946245; 38062975; 38107744; 38206725; 38508103; 38528770; 38658236; 38806662; 39432612; 39596632; 39827117; 39878611; 39882213; 39891979; 40072314; 40174488; 40217423; 40367637; 40376498; 40554861; 40579409; 40621273; 40634399; 40745330,DD; Eye; Skin; Cancer,,2017-09-01 16:19:16+00:00,
G2P01293,DKC1,300126,2890,CBF5; DKC; DYSKERIN; NAP57; NOLA4; XAP101,DKC1-related dyskeratosis congenita,305000,MONDO:0010584,monoallelic_X_hemizygous,,definitive,absent gene product; altered gene product structure,,loss of function,inferred,,,HP:0000028; HP:0000047; HP:0000071; HP:0000085; HP:0000252; HP:0000486; HP:0000498; HP:0000509; HP:0000518; HP:0000648; HP:0000653; HP:0000670; HP:0000939; HP:0000953; HP:0000975; HP:0001249; HP:0001251; HP:0001263; HP:0001321; HP:0001394; HP:0001419; HP:0001511; HP:0001596; HP:0001741; HP:0001807; HP:0001809; HP:0001873; HP:0001876; HP:0001882; HP:0001903; HP:0002043; HP:0002091; HP:0002165; HP:0002206; HP:0002216; HP:0002721; HP:0002745; HP:0002860; HP:0002863; HP:0004322; HP:0004334; HP:0004808; HP:0005212; HP:0005528; HP:0006480; HP:0007427; HP:0008404; HP:0008734; HP:0009926; HP:0012182; HP:0012189; HP:0030438; HP:0030442,10583221; 10700698; 9590285,10364516; 10438713; 10636732; 11259155; 11379875; 11491307; 11522545; 12186364; 12437656; 12513020; 12539238; 12737310; 14556776; 14648217; 15304085; 15613268; 15842668; 16140563; 16207588; 16332973; 17417794; 17825470; 18005359; 18627054; 18802941; 18938267; 19327580; 19419704; 19615640; 19879169; 20091372; 20493861; 20687509; 20954562; 21415081; 21601430; 21736606; 21931702; 22160078; 22664374; 22798484; 22814958; 23946118; 24284296; 24635067; 24914498; 25237198; 25455995; 25499969; 26951492; 27504423; 27824607; 29042228; 29081935; 29485835; 29804726; 30047419; 30185935; 30868555; 31269755; 31602194; 32166868; 32452087; 32554502; 32710892; 33165394; 33191321; 33734615; 35384376; 35463902; 36111181; 36309505; 37189188; 40189296; 40265669; 40634789; 9042917; 9886310,DD; Eye; Skin; Cancer,,2024-08-20 13:59:58+00:00,
G2P01390,ATM,607585,795,ATA; ATC; ATD; ATDC; TEL1; TELO1,ATM-related ataxia-telangiectasia,208900,MONDO:0008840,biallelic_autosomal,,definitive,absent gene product,,loss of function,inferred,,,HP:0000007; HP:0000134; HP:0000246; HP:0000486; HP:0000524; HP:0000639; HP:0000778; HP:0000819; HP:0000823; HP:0000957; HP:0001250; HP:0001251; HP:0001260; HP:0001266; HP:0001315; HP:0001332; HP:0001336; HP:0001337; HP:0001595; HP:0001888; HP:0001909; HP:0001952; HP:0002110; HP:0002665; HP:0002720; HP:0002837; HP:0002894; HP:0003002; HP:0004322; HP:0005357; HP:0005407; HP:0006254; HP:0008348; HP:0008669,11826028; 11889466; 22345219; 2491181; 7792600; 8755918; 8808599; 8968760; 9443866; 9450874; 9521587; 9600235; 9781027; 9887333,26220245; 26594831; 26628246; 26846839; 27181190; 27871447; 27873105; 28082406; 28351596; 28477107; 28488180; 28543935; 28716242; 29034753; 29163336; 29249681; 29288088; 29492593; 29524103; 29564828; 29582093; 29600275; 29664460; 29671115; 30100180; 30124550; 30279714; 30339652; 30504431; 30523550; 30549301; 30685876; 30772474; 30816533; 30819809; 30854690; 30888062; 31257506; 31691010; 31709473; 31741144; 31762358; 31921190; 32095276; 32116070; 32259893; 32558426; 32655291; 32745970; 32775531; 32791865; 32818697; 32871349; 32918381; 32923878; 32999401; 33044027; 33376610; 33547824; 33630411; 33743388; 34234451; 34404412; 34424493; 34453918; 34582042; 34602955; 34628594; 34686943; 34882376; 35145552; 35146067; 35154108; 35221880; 35257272; 35586824; 35644065; 36077770; 36439585; 36544766; 36806980; 36860961; 37009283; 37075885; 37351254; 37564729; 37802069; 38327652; 38404774; 38570878; 38882696; 39149652; 39281240; 39678378; 39853455; 40211499; 40379838; 40564629; 40565533; 40649708,DD; Skin; Cancer,,2017-09-01 16:19:15+00:00,
G2P01446,SMARCA4,603254,11100,BAF190; BRG1; FLJ39786; HSNF2B; SNF2; SNF2-BETA; SNF2L4; SNF2LB; SWI2,SMARCA4-related rhabdoid tumor predisposition syndrome,613325,MONDO:0013224,monoallelic_autosomal,,definitive,absent gene product; altered gene product structure,,loss of function,inferred,,,,20137775; 21566516; 25060813,22426308; 34377707; 35126043; 38088151; 38751117; 39091105; 40068817,DD; Cancer,,2015-07-22 16:15:28+00:00,
