g2p id,gene symbol,gene mim,hgnc id,previous gene symbols,disease name,disease mim,disease MONDO,allelic requirement,cross cutting modifier,confidence,variant consequence,variant types,molecular mechanism,molecular mechanism support,molecular mechanism categorisation,molecular mechanism evidence,phenotypes,publications,additional mined publications,panel,comments,date of last review,review
G2P00001,HMX1,142992,5017,H6; NKX5-3,HMX1-related oculoauricular syndrome,612109,MONDO:0012802,biallelic_autosomal,,definitive,absent gene product,,loss of function,inferred,,,HP:0000007; HP:0000356; HP:0000482; HP:0000505; HP:0000518; HP:0000556; HP:0000568; HP:0000589; HP:0000639; HP:0000647; HP:0001104; HP:0004328; HP:0007906,18423520; 25574057; 29140751,21417677; 31469246; 35946463,DD; Eye,,2019-09-26 16:23:46+00:00,
G2P00002,SLX4,613278,23845,BTBD12; FANCP; KIAA1784; KIAA1987,SLX4-related Fanconi anemia,613951,MONDO:0013499,biallelic_autosomal,,definitive,absent gene product,,loss of function,inferred,,,HP:0000007; HP:0000028; HP:0000085; HP:0000125; HP:0000252; HP:0000347; HP:0000365; HP:0000414; HP:0000581; HP:0000957; HP:0001045; HP:0001903; HP:0002860; HP:0002984; HP:0003828; HP:0004322; HP:0009777; HP:0009778,21240275; 21240277,21476996; 23033263; 26841305; 30047418; 34754157; 36553632; 39396515; 39841989,DD,,2025-01-28 23:09:54+00:00,
G2P00003,ARG1,608313,663,,ARG1-related argininemia,207800,MONDO:0008814,biallelic_autosomal,,definitive,absent gene product,,loss of function,inferred,,,HP:0000007; HP:0000737; HP:0000752; HP:0001249; HP:0001250; HP:0001263; HP:0001987; HP:0002013; HP:0002039; HP:0002478; HP:0003218; HP:0008339; HP:0008897,10502833; 1463019; 1598908; 2365823; 7649538,15565656; 19052914; 19562505; 19936428; 21310339; 21482165; 21802329; 22959135; 22964440; 23430921; 23859858; 24103480; 24997092; 26169240; 26467175; 27038030; 28089752; 28892883; 29187023; 29443755; 29726057; 29961243; 31604595; 32769929; 32770317; 33193012; 33325055; 33542202; 34343381; 34419780; 34430444; 34646736; 34653322; 35281666; 35505270; 35695271; 35822089; 36049366; 36175366; 36180229; 36474391; 36698992; 36722221; 37243436; 37927486; 38382247; 38584907; 39230682; 39512428; 39512431; 39567422; 40237972; 40678074,DD,,2015-07-22 16:14:07+00:00,
G2P00004,ATR,601215,882,FRP1; MEC1; SCKL; SCKL1,ATR-related Seckel syndrome,210600,MONDO:0008869,biallelic_autosomal,,strong,absent gene product,,loss of function,inferred,,,HP:0000007; HP:0000028; HP:0000047; HP:0000175; HP:0000218; HP:0000237; HP:0000252; HP:0000324; HP:0000340; HP:0000347; HP:0000369; HP:0000377; HP:0000444; HP:0000448; HP:0000486; HP:0000494; HP:0000581; HP:0000678; HP:0000689; HP:0000752; HP:0000878; HP:0000954; HP:0001090; HP:0001249; HP:0001250; HP:0001302; HP:0001320; HP:0001511; HP:0001592; HP:0001763; HP:0001852; HP:0001876; HP:0001883; HP:0002650; HP:0002750; HP:0002827; HP:0002987; HP:0003083; HP:0003508; HP:0004209; HP:0006143; HP:0006297; HP:0006434; HP:0006442; HP:0007048; HP:0008665; HP:0010230; HP:0010583,10889046; 12640452; 23111928; 30199583,10631133; 15279811; 21669506; 23144622; 27235459; 32005695,DD; Skeletal,,2025-01-27 14:24:27+00:00,
G2P00005,FANCB,300515,3583,FAAP95; FAB; FLJ34064,FANCB-related Fanconi anemia,300514,MONDO:0010351,monoallelic_X_hemizygous,,definitive,absent gene product,,loss of function,inferred,,,HP:0000083; HP:0000100; HP:0000119; HP:0000707; HP:0000924; HP:0001287; HP:0001369; HP:0001626; HP:0001701; HP:0001744; HP:0001871; HP:0001917; HP:0001939; HP:0001954; HP:0001974; HP:0002027; HP:0002086; HP:0002102; HP:0002240; HP:0002586; HP:0002715; HP:0002829; HP:0003565; HP:0025031; HP:0025142,15502827; 16679491; 21910217; 22052692; 23613520; 24584348; 25168418; 26683739; 29193904; 29232005; 30792206; 32106311; 36135330,24416387; 31351673,DD; Skin,,2024-08-20 14:13:58+00:00,
G2P00006,ALG9,606941,15672,DIBD1,ALG9-related congenital disorder of glycosylation,608776,MONDO:0012117,biallelic_autosomal,,strong,absent gene product,,loss of function,inferred,,,,15148656; 15945070; 26453364; 35839600,19862844; 25966638; 28742265; 28932688; 31395617; 34441372; 35279850; 36326140; 37761895,DD,,2025-01-21 22:30:30+00:00,
G2P00007,NTRK1,191315,8031,MTC; TRK; TRKA,NTRK1-related congenital insensitivity to pain with anhidrosis,256800,MONDO:0009746,biallelic_autosomal,,definitive,absent gene product,,loss of function,inferred,,,HP:0000007; HP:0000478; HP:0000491; HP:0000559; HP:0000707; HP:0000712; HP:0000742; HP:0000752; HP:0000924; HP:0000970; HP:0001249; HP:0001263; HP:0001574; HP:0001626; HP:0001939; HP:0001954; HP:0002164; HP:0002209; HP:0002715; HP:0002754; HP:0002821; HP:0003549; HP:0003593; HP:0005307; HP:0006121; HP:0007021; HP:0007249; HP:0007759; HP:0008404; HP:0012332; HP:0040064,10090906; 10233776; 10330344; 10861667; 10982191; 19250380; 8145823; 8696348,10774995; 11071380; 11139246; 11241480; 11310631; 11668614; 12102460; 12406349; 15159601; 15534759; 16138253; 16373086; 18077166; 18322713; 18657423; 19089473; 19618435; 19651702; 20647579; 20978020; 21559108; 21708027; 22032467; 22653642; 22814739; 22882139; 23112235; 23799134; 25316729; 25337332; 25519000; 25984678; 26579324; 27184211; 27265460; 27676246; 27772781; 28116328; 28177573; 28192073; 28328124; 28345382; 28940190; 29595626; 29619836; 29770739; 30075136; 30201336; 30461622; 30677517; 30774415; 31395116; 31741348; 31741675; 31841741; 32807182; 33748046; 34405299; 34732685; 35573589; 35756968; 36475157; 37248554; 38058353; 38061701; 38133079; 38241559; 38581121; 38659257; 38798698; 38833577; 39687654; 40150626; 40211677; 40698480,DD; Skin,,2017-09-01 16:19:16+00:00,
G2P00008,YAP1,606608,16262,YAP-1; YAP65,"YAP1-related coloboma, ocular, with or without hearing impairment, cleft lip/palate, and/or intellectual developmental disorder",120433,MONDO:0007355,monoallelic_autosomal,,strong,absent gene product,,loss of function,inferred,,,HP:0000006; HP:0000175; HP:0000407; HP:0000518; HP:0000567; HP:0000568; HP:0000612; HP:0000790; HP:0001249; HP:0002006; HP:0003829,24462371; 27267789,28801591; 32316019; 35318877,DD; Eye,,2017-05-12 10:48:00+00:00,
G2P00009,BBS9,607968,30000,B1; PTHB1,BBS9-related Bardet-Biedl syndrome,615986,MONDO:0014437,biallelic_autosomal,,definitive,absent gene product,,loss of function,inferred,,,HP:0000007; HP:0000054; HP:0000077; HP:0000135; HP:0000137; HP:0000148; HP:0000218; HP:0000256; HP:0000365; HP:0000483; HP:0000486; HP:0000501; HP:0000505; HP:0000510; HP:0000518; HP:0000545; HP:0000556; HP:0000639; HP:0000668; HP:0000678; HP:0000750; HP:0000819; HP:0000822; HP:0001007; HP:0001080; HP:0001156; HP:0001159; HP:0001162; HP:0001249; HP:0001251; HP:0001263; HP:0001328; HP:0001395; HP:0001513; HP:0001712; HP:0001773; HP:0001829; HP:0002099; HP:0002141; HP:0002167; HP:0002251; HP:0002370; HP:0003812; HP:0003828; HP:0007707; HP:0008734; HP:0009466; HP:0009806; HP:0010442,16380913; 22353939,26846096; 29367880; 31294530; 32037757; 32165602; 33138063; 33771153; 33777945; 34212515; 34692830; 35222663; 38534779; 39125883; 39211725; 39618083; 40252141,DD; Eye,,2025-01-21 22:09:55+00:00,
G2P00010,TRIM32,602290,16380,BBS11; HT2A; LGMD2H; TATIP,TRIM32-related Bardet-Biedl syndrome,615988,MONDO:0014439,biallelic_autosomal,,limited,uncertain,,undetermined,inferred,,,HP:0000007; HP:0000054; HP:0000077; HP:0000135; HP:0000137; HP:0000148; HP:0000218; HP:0000256; HP:0000365; HP:0000483; HP:0000486; HP:0000501; HP:0000510; HP:0000518; HP:0000545; HP:0000556; HP:0000639; HP:0000668; HP:0000678; HP:0000750; HP:0000819; HP:0000822; HP:0001007; HP:0001080; HP:0001156; HP:0001159; HP:0001162; HP:0001249; HP:0001251; HP:0001263; HP:0001328; HP:0001395; HP:0001513; HP:0001712; HP:0001773; HP:0001829; HP:0002099; HP:0002141; HP:0002167; HP:0002251; HP:0002370; HP:0007707; HP:0008734; HP:0009466; HP:0009806,16606853,19797195; 23142638; 25351777,DD; Eye,,2025-01-21 22:12:35+00:00,
