subject	subject_label	subject_category	subject_taxon	subject_taxon_label	negated	predicate	object	object_label	object_category	qualifiers	publications	has_evidence	primary_knowledge_source	aggregator_knowledge_source
HGNC:3765	FLT3	biolink:Gene	NCBITaxon:9606	Homo sapiens		biolink:causes	MONDO:0018874	acute myeloid leukemia	biolink:Disease					
HGNC:6222	KCNA4	biolink:Gene	NCBITaxon:9606	Homo sapiens		biolink:causes	MONDO:0032656	microcephaly, cataracts, impaired intellectual development, and dystonia with abnormal striatum	biolink:Disease					
HGNC:2555	CUL4B	biolink:Gene	NCBITaxon:9606	Homo sapiens		biolink:causes	MONDO:0010306	X-linked intellectual disability, Cabezas type	biolink:Disease					
HGNC:7105	MITF	biolink:Gene	NCBITaxon:9606	Homo sapiens		biolink:causes	MONDO:0008671	Waardenburg syndrome type 2A	biolink:Disease					
HGNC:7865	NODAL	biolink:Gene	NCBITaxon:9606	Homo sapiens		biolink:causes	MONDO:0700112	heterotaxy, visceral, 5, autosomal	biolink:Disease					
HGNC:18762	SLC36A2	biolink:Gene	NCBITaxon:9606	Homo sapiens		biolink:causes	MONDO:0009448	iminoglycinuria	biolink:Disease					
HGNC:26521	LOXHD1	biolink:Gene	NCBITaxon:9606	Homo sapiens		biolink:causes	MONDO:0013119	autosomal recessive nonsyndromic hearing loss 77	biolink:Disease					
HGNC:3495	ETV6	biolink:Gene	NCBITaxon:9606	Homo sapiens		biolink:causes	MONDO:0018874	acute myeloid leukemia	biolink:Disease					
HGNC:67	ABCD3	biolink:Gene	NCBITaxon:9606	Homo sapiens		biolink:causes	MONDO:0014564	congenital bile acid synthesis defect 5	biolink:Disease					
HGNC:568	AP3D1	biolink:Gene	NCBITaxon:9606	Homo sapiens		biolink:causes	MONDO:0014885	Hermansky-Pudlak syndrome 10	biolink:Disease					
HGNC:8142	OPA3	biolink:Gene	NCBITaxon:9606	Homo sapiens		biolink:causes	MONDO:0009787	3-methylglutaconic aciduria type 3	biolink:Disease					
HGNC:29022	SPECC1L	biolink:Gene	NCBITaxon:9606	Homo sapiens		biolink:causes	MONDO:0800025	Teebi hypertelorism syndrome 1	biolink:Disease					
HGNC:1618	CCT5	biolink:Gene	NCBITaxon:9606	Homo sapiens		biolink:causes	MONDO:0009748	hereditary sensory and autonomic neuropathy with spastic paraplegia	biolink:Disease					
HGNC:8620	PAX6	biolink:Gene	NCBITaxon:9606	Homo sapiens		biolink:causes	MONDO:0008136	isolated optic nerve hypoplasia	biolink:Disease					
HGNC:735	ASAH1	biolink:Gene	NCBITaxon:9606	Homo sapiens		biolink:causes	MONDO:0009218	Farber lipogranulomatosis	biolink:Disease					
HGNC:11584	TBK1	biolink:Gene	NCBITaxon:9606	Homo sapiens		biolink:causes	MONDO:0014641	frontotemporal dementia and/or amyotrophic lateral sclerosis 4	biolink:Disease					
HGNC:11119	SMO	biolink:Gene	NCBITaxon:9606	Homo sapiens		biolink:causes	MONDO:0011556	basal cell carcinoma, susceptibility to, 1	biolink:Disease					
HGNC:6990	MECP2	biolink:Gene	NCBITaxon:9606	Homo sapiens		biolink:causes	MONDO:0010726	Rett syndrome	biolink:Disease					
HGNC:1160	TWNK	biolink:Gene	NCBITaxon:9606	Homo sapiens		biolink:causes	MONDO:0010060	mitochondrial DNA depletion syndrome 7 (hepatocerebral type)	biolink:Disease					
HGNC:3689	FGFR2	biolink:Gene	NCBITaxon:9606	Homo sapiens		biolink:causes	MONDO:0001056	gastric cancer	biolink:Disease					
HGNC:6929	MC1R	biolink:Gene	NCBITaxon:9606	Homo sapiens		biolink:causes	MONDO:0044259	obsolete skin/hair/eye pigmentation, variation in, 2	biolink:Disease					
