subject	subject_label	subject_category	subject_taxon	subject_taxon_label	negated	predicate	object	object_label	object_category	qualifiers	publications	has_evidence	primary_knowledge_source	aggregator_knowledge_source
MAXO:0000004	surgical procedure	biolink:NamedThing				biolink:ameliorates_condition	HP:0000453	Choanal atresia	biolink:PhenotypicFeature		['PMID:26674912']		infores:maxo	['infores:monarchinitiative']
MAXO:0000653	angiotensin receptor blocker therapy	biolink:NamedThing				biolink:preventative_for_condition	HP:0002616	Aortic root aneurysm	biolink:PhenotypicFeature		['PMID:32650901']		infores:maxo	['infores:monarchinitiative']
MAXO:0001175	liver transplantation	biolink:NamedThing				biolink:ameliorates_condition	HP:0001399	Hepatic failure	biolink:PhenotypicFeature		['PMID:24118554']		infores:maxo	['infores:monarchinitiative']
MAXO:0001175	liver transplantation	biolink:NamedThing				biolink:preventative_for_condition	HP:0000118	Phenotypic abnormality	biolink:PhenotypicFeature		['PMID:28260463']		infores:maxo	['infores:monarchinitiative']
MAXO:0000448	surgical resection	biolink:NamedThing				biolink:ameliorates_condition	HP:0009589	Bilateral vestibular schwannoma	biolink:PhenotypicFeature		['PMID:20301380']		infores:maxo	['infores:monarchinitiative']
MAXO:0000277	phosphate binders agent therapy	biolink:NamedThing				biolink:ameliorates_condition	HP:0003761	Calcinosis	biolink:PhenotypicFeature		['PMID:29389098']		infores:maxo	['infores:monarchinitiative']
MAXO:0001514	surgical procedure on respiratory system	biolink:NamedThing				biolink:ameliorates_condition	HP:0005347	Tracheal cartilaginous sleeve	biolink:PhenotypicFeature		['PMID:34133757']		infores:maxo	['infores:monarchinitiative']
MAXO:0001225	iron chelator agent therapy	biolink:NamedThing				biolink:ameliorates_condition	HP:0000118	Phenotypic abnormality	biolink:PhenotypicFeature		['PMID:30300449']		infores:maxo	['infores:monarchinitiative']
MAXO:0000500	airway management	biolink:NamedThing				biolink:ameliorates_condition	HP:0000118	Phenotypic abnormality	biolink:PhenotypicFeature		['PMID:24820706']		infores:maxo	['infores:monarchinitiative']
MAXO:0001135	fat-soluble vitamin supplementation	biolink:NamedThing				biolink:ameliorates_condition	HP:0001508	Failure to thrive	biolink:PhenotypicFeature		['PMID:20301450']		infores:maxo	['infores:monarchinitiative']
MAXO:0000457	pain management	biolink:NamedThing				biolink:ameliorates_condition	HP:0012531	Pain	biolink:PhenotypicFeature		['PMID:37248824']		infores:maxo	['infores:monarchinitiative']
MAXO:0000756	blood transfusion	biolink:NamedThing				biolink:ameliorates_condition	HP:0001903	Anemia	biolink:PhenotypicFeature		['PMID:28094851']		infores:maxo	['infores:monarchinitiative']
MAXO:0000806	pregnancy education counseling	biolink:NamedThing				biolink:ameliorates_condition	HP:0000118	Phenotypic abnormality	biolink:PhenotypicFeature		['PMID:27350316']		infores:maxo	['infores:monarchinitiative']
MAXO:0001001	gene therapy	biolink:NamedThing				biolink:ameliorates_condition	HP:0000118	Phenotypic abnormality	biolink:PhenotypicFeature		['PMID:36170507']		infores:maxo	['infores:monarchinitiative']
MAXO:0001131	pyridoxine supplementation	biolink:NamedThing				biolink:related_to	HP:0000118	Phenotypic abnormality	biolink:PhenotypicFeature		['PMID:153484']		infores:maxo	['infores:monarchinitiative']
