candidate_rank,head,tail,relation_type,support_models,priority_score,consensus_pct,transe_score,hybrid_score
1,HGNC:10193,MONDO:0971172,gene -> disease,1,1.0,1.0,,0.0211785997962301
2,HGNC:58228,MONDO:0005483,gene -> disease,1,1.0,1.0,-13.589332580566406,
3,MONDO:0006955,MONDO:0021207,disease -> disease,1,0.9999845308995282,0.9999845308995282,-13.095006942749023,
4,NCBIGENE:102157934,MONDO:0010037,gene -> disease,1,0.9999690617990564,0.9999690617990564,-13.092168807983398,
5,HGNC:50467,MONDO:0010037,gene -> disease,1,0.9999535926985845,0.9999535926985845,-13.0704984664917,
6,MONDO:0005602,MONDO:0021250,disease -> disease,1,0.9999381235981127,0.9999381235981127,-13.053577423095703,
7,ZFIN:ZDB-GENE-081107-2,MONDO:0007300,gene -> disease,1,0.999922654497641,0.999922654497641,-13.009358406066896,
8,MONDO:0002031,MONDO:0003409,disease -> disease,1,0.9999071853971692,0.9999071853971692,-12.954391479492188,
9,NCBIGENE:100315886,MONDO:0005483,gene -> disease,1,0.9998917162966974,0.9998917162966974,-12.941309928894045,
10,MONDO:0006801,MONDO:0002071,disease -> disease,1,0.9998762471962256,0.9998762471962256,-12.859504699707031,
11,MGI:5792327,MONDO:0003105,gene -> disease,1,0.9998607780957537,0.9998607780957537,-12.821508407592772,
12,ZFIN:ZDB-GENE-070424-51,MONDO:0010888,gene -> disease,1,0.9998453089952819,0.9998453089952819,-12.808443069458008,
13,HGNC:33690,MONDO:0003105,gene -> disease,1,0.9998298398948101,0.9998298398948101,-12.784111976623535,
14,MONDO:0006882,MONDO:0003105,disease -> disease,1,0.9998143707943383,0.9998143707943383,-12.77945041656494,
15,HGNC:33690,MONDO:0010037,gene -> disease,1,0.9997989016938665,0.9997989016938665,-12.777554512023926,
16,MGI:7718590,MONDO:0100522,gene -> disease,1,0.9997834325933946,0.9997834325933946,-12.761268615722656,
17,ZFIN:ZDB-FISH-200416-31,MONDO:0016593,gene -> disease,1,0.9997679634929229,0.9997679634929229,-12.759889602661133,
18,HGNC:45745,MONDO:0021209,gene -> disease,1,0.9997524943924511,0.9997524943924511,-12.75717830657959,
19,MONDO:0022872,MONDO:0022993,disease -> disease,1,0.9997370252919793,0.9997370252919793,-12.754490852355955,
20,HGNC:17742,MONDO:0022871,gene -> disease,1,0.9997215561915075,0.9997215561915075,-12.749692916870115,
