prefix,pagerank_score
CL,32.09418703166607
UBERON,19.069819150977953
MGI,18.824827670606258
GO,15.489762723000213
DDPHENO,12.580275657046997
EMAPA,10.86288376120159
MONDO,10.822297403495448
ZFA,10.243767061546007
WBBT,9.63552435810659
FBBT,7.894666474620785
HP,7.4701803854220685
MP,7.131895587808543
DICTYBASE,6.991597638284279
WBPHENOTYPE,6.527950636555249
FYPO,6.270765054399004
XENBASE,6.074253780187758
ZFIN,4.82335708868418
FB,4.439795086645937
HGNC,4.234307208417395
NCBIGENE,4.160658923497592
RGD,4.149571509703858
WB,4.1477514248863585
REACTOME,4.119501903617843
POMBASE,3.1643262833381094
SGD,2.7857208740738235
