metric,model,node_side,n_edges,gene_pct,disease_pct,phenotype_pct,other_pct,dominant_type,dominant_pct,gene_disease_total_pct,dominant_is_gene_or_disease,majority_label
All edges,TransE,head,64646,81.123,18.21,0.0,0.667,gene,81.123,99.333,True,mostly_gene
All edges,TransE,tail,64646,0.0,100.0,0.0,0.0,disease,100.0,100.0,True,mostly_disease
All edges,Hybrid,head,1290,99.612,0.0,0.0,0.388,gene,99.612,99.612,True,mostly_gene
All edges,Hybrid,tail,1290,0.0,100.0,0.0,0.0,disease,100.0,100.0,True,mostly_disease
Top-500 strongest edges,TransE,head,500,71.0,29.0,0.0,0.0,gene,71.0,100.0,True,mostly_gene
Top-500 strongest edges,TransE,tail,500,0.0,100.0,0.0,0.0,disease,100.0,100.0,True,mostly_disease
Top-500 strongest edges,Hybrid,head,500,100.0,0.0,0.0,0.0,gene,100.0,100.0,True,mostly_gene
Top-500 strongest edges,Hybrid,tail,500,0.0,100.0,0.0,0.0,disease,100.0,100.0,True,mostly_disease
Top-300 prioritized candidates,MergedCandidates,head,300,70.333,29.667,0.0,0.0,gene,70.333,100.0,True,mostly_gene
Top-300 prioritized candidates,MergedCandidates,tail,300,0.0,100.0,0.0,0.0,disease,100.0,100.0,True,mostly_disease
