dataset_id,file_formats,file_size_mb,row_count,num_columns,column_names
CiVIC,tsv,0.17,947,18,"[""description"", ""entrez_id"", ""feature_aliases"", ""feature_civic_url"", ""feature_id"", ""feature_type"", ""five_prime_gene_entrez_id"", ""five_prime_gene_id"", ""five_prime_gene_name"", ""five_prime_partner_status"", ""is_flagged"", ""last_review_date"", ""name"", ""ncit_id"", ""three_prime_gene_entrez_id"", ""three_prime_gene_id"", ""three_prime_gene_name"", ""three_prime_partner_status""]"
CiVIC2,tsv,0.54,1947,40,"[""3_prime_exon_offset"", ""3_prime_exon_offset_direction"", ""3_prime_partner"", ""3_prime_partner_status"", ""3_prime_start_exon"", ""3_prime_transcript"", ""5_prime_end_exon"", ""5_prime_exon_offset"", ""5_prime_exon_offset_direction"", ""5_prime_partner"", ""5_prime_partner_status"", ""5_prime_transcript"", ""allele_registry_id"", ""chromosome"", ""clinvar_ids"", ""ensembl_version"", ""entrez_id"", ""feature_civic_url"", ""feature_id"", ""feature_name"", ""feature_type"", ""gene"", ""hgvs_descriptions"", ""is_flagged"", ""last_review_date"", ""ncit_id"", ""reference_bases"", ""reference_build"", ""representative_transcript"", ""single_variant_molecular_profile_id"", ""start"", ""stop"", ""variant"", ""variant_aliases"", ""variant_bases"", ""variant_civic_url"", ""variant_groups"", ""variant_id"", ""variant_types"", ""vicc_compliant_name""]"
CiVIC3,tsv,0.62,1907,13,"[""aliases"", ""assertion_ids"", ""assertions_civic_url"", ""evidence_item_ids"", ""evidence_items_civic_url"", ""evidence_score"", ""is_flagged"", ""last_review_date"", ""molecular_profile_id"", ""name"", ""summary"", ""variant_ids"", ""variants_civic_url""]"
CiVIC4,tsv,3.73,4745,25,"[""asco_abstract_id"", ""citation"", ""citation_id"", ""disease"", ""doid"", ""evidence_civic_url"", ""evidence_direction"", ""evidence_id"", ""evidence_level"", ""evidence_statement"", ""evidence_status"", ""evidence_type"", ""is_flagged"", ""last_review_date"", ""molecular_profile"", ""molecular_profile_civic_url"", ""molecular_profile_id"", ""nct_ids"", ""phenotypes"", ""rating"", ""significance"", ""source_type"", ""therapies"", ""therapy_interaction_type"", ""variant_origin""]"
CiVIC5,tsv,0.01,29,6,"[""description"", ""is_flagged"", ""last_review_date"", ""variant_group"", ""variant_group_civic_url"", ""variant_group_id""]"
CiVIC6,tsv,0.14,120,24,"[""acmg_codes"", ""amp_category"", ""assertion_civic_url"", ""assertion_description"", ""assertion_direction"", ""assertion_id"", ""assertion_summary"", ""assertion_type"", ""disease"", ""doid"", ""evidence_item_ids"", ""evidence_items_civic_url"", ""fda_companion_test"", ""is_flagged"", ""last_review_date"", ""molecular_profile"", ""molecular_profile_civic_url"", ""molecular_profile_id"", ""nccn_guideline"", ""nccn_guideline_version"", ""phenotypes"", ""regulatory_approval"", ""significance"", ""therapies""]"
ClinGPX2,tsv,2.1,NA,0,[]
ClinGPX3,tsv,10.58,25041,17,"[""Alternate Names"", ""Alternate Symbols"", ""Chromosomal Start - GRCh37"", ""Chromosomal Start - GRCh38"", ""Chromosomal Stop - GRCh37"", ""Chromosomal Stop - GRCh38"", ""Chromosome"", ""Cross-references"", ""Ensembl Id"", ""HGNC ID"", ""Has CPIC Dosing Guideline"", ""Has Variant Annotation"", ""Is VIP"", ""NCBI Gene ID"", ""Name"", ""PharmGKB Accession Id"", ""Symbol""]"
ClinGPX4,tsv,0.82,1615,5,"[""Alternate Names"", ""Cross-references"", ""External Vocabulary"", ""Name"", ""PharmGKB Accession Id""]"
ClinGPX5,tsv,3.35,7559,11,"[""Clinical Annotation count"", ""Gene IDs"", ""Gene Symbols"", ""Guideline Annotation count"", ""Label Annotation count"", ""Level 1/2 Clinical Annotation count"", ""Location"", ""Synonyms"", ""Variant Annotation count"", ""Variant ID"", ""Variant Name""]"
ClinPGX,tsv,2.51,NA,0,[]
DGIDB,tsv,1.49,32795,4,"[""name"", ""name-2"", ""source_db_name"", ""source_db_version""]"
DGIDB2,tsv,7.66,81572,9,"[""anti_neoplastic"", ""approved"", ""concept_id"", ""drug_claim_name"", ""drug_name"", ""immunotherapy"", ""nomenclature"", ""source_db_name"", ""source_db_version""]"
DGIDB3,tsv,11.61,98239,13,"[""anti_neoplastic"", ""approved"", ""drug_claim_name"", ""drug_concept_id"", ""drug_name"", ""gene_claim_name"", ""gene_concept_id"", ""gene_name"", ""immunotherapy"", ""interaction_score"", ""interaction_source_db_name"", ""interaction_source_db_version"", ""interaction_type""]"
DGIDB4,tsv,4.15,80234,6,"[""concept_id"", ""gene_claim_name"", ""gene_name"", ""nomenclature"", ""source_db_name"", ""source_db_version""]"
DIDA,csv,0.01,333,2,"["" pair"", ""id""]"
DIDA2,csv,0.19,170,17,"[""BIOGRID_ID"", ""CHROMOSOME"", ""CONSENSUSPATH_ID"", ""ESSENTIAL_GENE"", ""GDI"", ""GENATLAS_TISSUE"", ""GENE_NAME"", ""GO_MOLECULAR_FUNCTION"", ""INTACT_ID"", ""INTERPRO_ID"", ""KEGG_ID"", ""PFAM_ID"", ""P_HI"", ""P_REC"", ""REACTOME_ID"", ""UNIPROT_ACC"", ""lastmodified""]"
DIDA3,csv,0.16,129,26,"["" 2592+1G-A"", "" 3108+1G. Hypokalemia was a triggering factor for torsade de pointes in 2 of the probands of these families. Lastly"", "" A341E"", "" Coumel P"", "" Demay L"", "" Denjoy I"", "" Donger C"", "" Funke H"", "" Guicheney P.</br> <em><strong>C-terminal HERG mutations: the role of hypokalemia and a KCNQ1-associated mutation in cardiac event occurrence.</strong></em> </br>Circulation. 1999 Mar 23;99(11):1464-70.\"";\""BACKGROUND: The long-QT syndrome (LQTS) is a genetically heterogeneous disease in which 4 genes encoding ion-channel subunits have been identified. Most of the mutations have been determined in the transmembrane domains of the cardiac potassium channel genes KCNQ1 and HERG. In this study"", "" Hainque B"", "" Hammoude H"", "" Klug D"", "" Richard P"", "" S818L and V822 M"", "" Schulze-Bahr E"", "" Schwartz K"", "" a maternally inherited G to A transition was found in the splicing donor consensus site of HERG"", "" and a 1-bp insertion"", "" and a paternally inherited mutation"", "" but they can become clinically significant in cases of hypokalemia. The first description of 2 patients with double heterozygosity associated with a dramatic malignant phenotype implies that genetic analysis of severely affected young patients should include an investigation for >1 mutation  in the LQT genes.\"";\""1999\"""", "" in a large family"", "" in the putative cyclic nucleotide binding domain"", "" the identification of 2 missense mutations"", "" was identified in KCNQ1. The 2 more severely affected sisters bore both mutations. CONCLUSIONS: The discovery of mutations in the C-terminal part of HERG emphasizes that this region plays a significant role in cardiac repolarization. Clinical data suggests that these mutations may be less malignant than mutations occurring in the pore region"", "" we investigated the 3' part of HERG for mutations. METHODS AND RESULTS: New specific primers allowed the amplification of the 3' part of HERG"", ""10086971;\""Berthet M""]"
DIDA4,tsv,0.05,258,15,"["""", ""Allele 1 Gene A cDNA change"", ""Allele 1 Gene A protein change"", ""Allele 1 Gene B cDNA change"", ""Allele 1 Gene B protein change"", ""Allele 2 Gene A cDNA change"", ""Allele 2 Gene A protein change"", ""Allele 2 Gene B cDNA change"", ""Allele 2 Gene B protein change"", ""Disease name (ORPHANET)"", ""Gene A"", ""Gene B"", ""Gene relationship"", ""ID"", ""Oligogenic effect""]"
