dataset_id,possible_gene_ids,possible_disease_ids,possible_phenotype_ids,possible_therapy_ids,possible_protein_ids,possible_compound_ids,possible_variant_ids,possible_pathway_ids,possible_anatomy_ids,possible_taxonomy_ids,example_columns
CiVIC,Entrez_Gene|HGNC_Symbol,ICD11,NA,NA,PDB,PubChem_CID,NA,NA,NA,NCBITaxon,feature_id(ICD11); feature_id(NCBITaxon); name(HGNC_Symbol); name(ICD11); entrez_id(Entrez_Gene); entrez_id(ICD11); entrez_id(PDB); entrez_id(PubChem_CID); entrez_id(NCBITaxon)
CiVIC2,Entrez_Gene|HGNC_Symbol,ICD11|OMIM|SNOMED,NA,NA,PDB,PubChem_CID|RxCUI,NA,NA,NA,NCBITaxon,"variant_id(ICD11); variant_id(NCBITaxon); feature_id(Entrez_Gene); feature_id(ICD11); feature_id(PubChem_CID,RxCUI); feature_id(NCBITaxon); feature_name(HGNC_Symbol); feature_name(ICD11); variant(HGNC_Symbol); variant(ICD11); variant_aliases(HGNC_Symbol); variant_aliases(ICD11)"
CiVIC3,Entrez_Gene|HGNC_Symbol,ICD11,NA,NA,NA,NA,NA,NA,NA,NCBITaxon,molecular_profile_id(ICD11); molecular_profile_id(NCBITaxon); variant_ids(ICD11); variant_ids(NCBITaxon); evidence_item_ids(Entrez_Gene); evidence_item_ids(ICD11); evidence_item_ids(NCBITaxon); assertion_ids(ICD11); assertion_ids(NCBITaxon); aliases(HGNC_Symbol); aliases(ICD11)
CiVIC4,Entrez_Gene,ICD11|SNOMED,NA,NA,PDB,PubChem_CID,NA,NA,NA,NCBITaxon,"molecular_profile_id(ICD11); molecular_profile_id(NCBITaxon); doid(ICD11); doid(Entrez_Gene); doid(PDB); doid(PubChem_CID); doid(NCBITaxon); citation_id(Entrez_Gene); citation_id(SNOMED,ICD11); citation_id(PubChem_CID); rating(NCBITaxon); evidence_id(ICD11); evidence_id(NCBITaxon)"
CiVIC5,NA,ICD11,NA,NA,NA,NA,NA,NA,NA,NCBITaxon,variant_group_id(ICD11); variant_group_id(NCBITaxon)
CiVIC6,Entrez_Gene,ICD11|SNOMED,NA,NA,PDB,PubChem_CID|RxCUI,NA,NA,NA,NCBITaxon,"molecular_profile_id(Entrez_Gene); molecular_profile_id(ICD11); molecular_profile_id(PDB); molecular_profile_id(PubChem_CID); molecular_profile_id(NCBITaxon); doid(SNOMED,ICD11); doid(Entrez_Gene); doid(PDB); doid(PubChem_CID,RxCUI); doid(NCBITaxon); assertion_id(ICD11); assertion_id(NCBITaxon)"
ClinGPX2,Entrez_Gene|HGNC_Symbol,ICD11|OMIM|SNOMED,NA,NA,PDB,InChI|PubChem_CID|RxCUI|SMILES,NA,NA,NA,NCBITaxon,SMILES(SMILES); InChI(InChI); Clinical Annotation Count(NCBITaxon); Variant Annotation Count(NCBITaxon); Pathway Count(NCBITaxon)
ClinGPX3,Ensembl_Gene|Entrez_Gene|HGNC|HGNC_Symbol,ICD11|OMIM|SNOMED,NA,NA,NA,PubChem_CID|RxCUI,NA,NA,NA,NCBITaxon,"PharmGKB Accession Id(HGNC_Symbol); PharmGKB Accession Id(ICD11); NCBI Gene ID(NCBITaxon); NCBI Gene ID(Entrez_Gene); NCBI Gene ID(SNOMED,ICD11,OMIM); NCBI Gene ID(PubChem_CID,RxCUI); HGNC ID(HGNC); Ensembl Id(Ensembl_Gene); Symbol(HGNC_Symbol); Symbol(ICD11)"
ClinGPX4,HGNC_Symbol,ICD11,NA,NA,NA,NA,NA,NA,NA,NA,PharmGKB Accession Id(HGNC_Symbol); PharmGKB Accession Id(ICD11)
ClinGPX5,HGNC_Symbol,ICD11,NA,NA,NA,SMILES,dbSNP,NA,NA,NCBITaxon,Variant Name(dbSNP); Variant Name(SMILES); Gene IDs(HGNC_Symbol); Gene IDs(ICD11); Gene Symbols(HGNC_Symbol); Gene Symbols(ICD11); Variant Annotation count(NCBITaxon); Clinical Annotation count(NCBITaxon)
ClinPGX,Entrez_Gene,ICD11|OMIM|SNOMED,NA,NA,NA,InChI|PubChem_CID|RxCUI|SMILES,NA,NA,NA,NCBITaxon,SMILES(SMILES); InChI(InChI); Clinical Annotation Count(NCBITaxon); Variant Annotation Count(NCBITaxon); Pathway Count(NCBITaxon)
DGIDB,HGNC_Symbol,ICD11,NA,NA,NA,NA,NA,NA,NA,NA,name(HGNC_Symbol); name(ICD11)
DGIDB2,Entrez_Gene|HGNC_Symbol,ICD11|SNOMED,NA,NA,NA,PubChem_CID,NA,NA,NA,NA,"approved(HGNC_Symbol); approved(ICD11); immunotherapy(HGNC_Symbol); immunotherapy(ICD11); anti_neoplastic(HGNC_Symbol); anti_neoplastic(ICD11); source_db_version(Entrez_Gene); source_db_version(SNOMED,ICD11); source_db_version(PubChem_CID)"
DGIDB3,HGNC_Symbol,ICD11,NA,NA,NA,SMILES,NA,NA,NA,NCBITaxon,gene_claim_name(HGNC_Symbol); gene_claim_name(ICD11); gene_name(HGNC_Symbol); gene_name(ICD11); interaction_source_db_name(HGNC_Symbol); interaction_source_db_name(ICD11); interaction_source_db_version(ICD11); interaction_source_db_version(SMILES); interaction_source_db_version(NCBITaxon); interaction_type(HGNC_Symbol); interaction_type(ICD11)
