node,approx_betweenness,sampled_k=21
HGNC:1101,9149911109.8,
ZFA:0001094,4943412464.1,
EMAPA:16728,4562599854.2,
HGNC:3263,4396545482.2,
HGNC:3804,4377288813.8,
ZFIN:ZDB-GENE-100921-11,4373796349.5,
HGNC:25852,4373226727.2,
GO:0016740,4269870644.1,
GO:0005515,4209669579.4,
GO:0008150,3858774964.1,
HGNC:10313,3541692332.9,
GO:0003674,2993658422.2,
MGI:97617,2987590918.8,
HP:0004325,2906396667.2,
HGNC:4696,2770592413.0,
UBERON:0000473,2162499445.5,
HGNC:7989,2145446440.6,
GO:0046872,2137688992.7,
HGNC:5173,2123387508.7,
HP:0000007,2118319930.4,
MP:0011098,1801036858.7,
Reactome:R-SCE-203615,1567881735.8,
UBERON:0002107,1557400133.5,
Reactome:R-SCE-2514859,1544643212.1,
FB:FBgn0035187,1398895725.5,
HGNC:7212,1391106466.4,
UBERON:0002113,1388316071.1,
HGNC:30252,1349133039.0,
UBERON:0002106,1190478122.7,
HP:0000006,946506035.0,
HGNC:13312,824109099.0,
HGNC:4324,821402808.7,
GO:0007165,805530937.5,
Reactome:R-HSA-174490,787034629.9,
HP:0012443,782369283.0,
HGNC:18028,699438377.7,
UBERON:0002037,681505886.8,
HGNC:3373,657717995.9,
HGNC:25006,617513605.9,
MP:0002169,611176148.8,
GO:0006396,602354536.7,
HGNC:2019,600567460.0,
HGNC:10856,588619168.8,
GO:0016787,569654211.7,
HGNC:1100,567325442.8,
HGNC:4642,562026496.9,
UBERON:0000992,559471226.6,
UBERON:0000991,532382742.8,
UBERON:0000955,520251300.5,
HP:0001250,504205950.4,
HGNC:19075,489486183.4,
HP:0030769,481194381.1,
UBERON:0000966,467384087.7,
HGNC:16818,455704942.1,
EMAPA:16039,455558023.2,
CL:0000023,451344996.9,
FBbt:00000001,450539978.1,
GO:0003824,443135454.6,
HP:0040270,437562570.7,
EMAPA:16846,401561629.6,
ZFA:0005145,391761101.3,
GO:0003735,369315998.0,
MP:0010025,369255847.0,
MP:0001265,360150401.3,
EMAPA:16894,360062770.9,
EMAPA:17577,350668203.2,
UBERON:0000948,339955578.2,
HP:0000750,339873663.8,
HGNC:23396,336970845.8,
GO:0000166,330951724.3,
HGNC:5045,329351464.8,
GO:0055085,324412106.5,
FB:FBgn0005674,322313779.0,
MP:0003961,320034063.3,
UBERON:0001155,317977661.0,
UBERON:0000970,314319884.9,
ZFA:0001093,311475104.6,
GO:0003677,308937851.1,
