node,degree,degree_centrality
GO:0005515,20641,0.04689325
UBERON:0000473,18172,0.04128405
GO:0003674,14510,0.03296454
GO:0046872,13553,0.03079038
GO:0008150,13074,0.02970216
HGNC:10856,8775,0.01993548
GO:0007165,8192,0.01861099
ZFA:0001094,8081,0.01835882
UBERON:0002107,7943,0.0180453
HP:0000007,7557,0.01716837
UBERON:0000992,7374,0.01675262
EMAPA:16894,7365,0.01673217
GO:0008270,7351,0.01670037
GO:0000166,7215,0.01639139
GO:0016740,7188,0.01633005
UBERON:0000955,7072,0.01606652
UBERON:0000991,6999,0.01590067
UBERON:0000948,6987,0.01587341
GO:0016787,6934,0.015753
GO:0003677,6882,0.01563487
UBERON:0002113,6716,0.01525774
UBERON:0002106,6626,0.01505327
CL:0000023,6561,0.0149056
EMAPA:17373,6553,0.01488743
UBERON:0002037,6299,0.01431038
EMAPA:17972,6279,0.01426494
CL:0000094,6071,0.0137924
EMAPA:16039,6030,0.01369925
EMAPA:16728,5899,0.01340164
UBERON:0002048,5831,0.01324715
GO:0005524,5828,0.01324034
UBERON:0001134,5766,0.01309948
EMAPA:16846,5741,0.01304269
GO:0007186,5734,0.01302679
EMAPA:16105,5656,0.01284958
EMAPA:17577,5640,0.01281323
CL:0000017,5621,0.01277007
HP:0000006,5608,0.01274053
UBERON:0001155,5606,0.01273599
EMAPA:17544,5568,0.01264966
MP:0002169,5566,0.01264511
UBERON:0000178,5544,0.01259513
CL:0000018,5540,0.01258605
UBERON:0002385,5336,0.01212259
WBbt:0000100,5192,0.01179544
FBbt:00000001,5106,0.01160006
GO:0004930,5077,0.01153418
HGNC:31859,4952,0.0112502
EMAPA:16974,4856,0.0110321
EMAPA:17787,4777,0.01085263
GO:0006357,4694,0.01066406
FBbt:00003007,4677,0.01062544
EMAPA:32845,4622,0.01050049
HP:0004325,4611,0.0104755
MP:0011100,4545,0.01032556
GO:0006355,4368,0.00992344
ZFA:0001093,4286,0.00973715
HGNC:18224,4277,0.0097167
HGNC:3236,4237,0.00962583
HGNC:1100,4106,0.00932821
HP:0001263,4071,0.0092487
HGNC:7553,4026,0.00914647
GO:0003723,3969,0.00901697
EMAPA:17962,3916,0.00889656
HGNC:8607,3849,0.00874435
EMAPA:16910,3846,0.00873753
HGNC:6407,3842,0.00872845
EMAPA:16916,3828,0.00869664
UBERON:0000160,3820,0.00867847
EMAPA:17168,3788,0.00860577
EMAPA:16470,3773,0.00857169
FYPO:0002060,3770,0.00856487
UBERON:0000451,3762,0.0085467
EMAPA:17536,3729,0.00847173
UBERON:0000966,3703,0.00841266
EMAPA:17021,3697,0.00839903
EMAPA:16668,3659,0.0083127
EMAPA:17540,3658,0.00831043
MP:0002083,3651,0.00829452
EMAPA:32809,3641,0.0082718
CL:0000576,3636,0.00826044
CL:0000501,3594,0.00816503
HP:0001249,3589,0.00815367
HGNC:1101,3480,0.00790604
EMAPA:16198,3454,0.00784697
UBERON:0005418,3451,0.00784015
UBERON:0005417,3444,0.00782425
EMAPA:18321,3420,0.00776973
GO:0000981,3413,0.00775382
GO:0006396,3399,0.00772202
UBERON:0001954,3353,0.00761751
GO:0004984,3346,0.00760161
EMAPA:18767,3338,0.00758343
HP:0001250,3322,0.00754708
UBERON:0001898,3308,0.00751528
GO:0007608,3306,0.00751073
UBERON:0001381,3303,0.00750392
EMAPA:17525,3258,0.00740169
HGNC:620,3198,0.00726537
GO:0000978,3192,0.00725174
HGNC:3467,3179,0.00722221
UBERON:0002114,3155,0.00716769
HP:0001252,3138,0.00712906
UBERON:0003701,3127,0.00710407
FYPO:0002177,3125,0.00709953
HGNC:2553,3124,0.00709726
EMAPA:17549,3110,0.00706545
HGNC:11998,3106,0.00705636
UBERON:0002190,3085,0.00700866
UBERON:0015488,3082,0.00700184
GO:0050911,3060,0.00695186
EMAPA:17606,3048,0.0069246
GO:0016491,3041,0.00690869
UBERON:0000007,3040,0.00690642
HGNC:14339,3029,0.00688143
HGNC:24500,3013,0.00684508
UBERON:0000082,3000,0.00681555
CL:0000738,2989,0.00679056
UBERON:0001114,2980,0.00677011
EMAPA:32842,2910,0.00661108
UBERON:0001401,2906,0.00660199
UBERON:0010533,2905,0.00659972
MP:0001265,2895,0.006577
UBERON:0004533,2877,0.00653611
GO:0042802,2876,0.00653384
UBERON:0011219,2845,0.00646341
EMAPA:17503,2839,0.00644978
HGNC:12932,2836,0.00644297
UBERON:0004534,2835,0.00644069
UBERON:0002509,2819,0.00640434
EMAPA:16896,2796,0.00635209
GO:0016301,2755,0.00625895
HP:0008897,2744,0.00623396
EMAPA:18768,2726,0.00619306
GO:0045944,2721,0.0061817
HGNC:2514,2710,0.00615671
UBERON:0000995,2702,0.00613854
HGNC:3468,2700,0.00613399
WB:WBGene00001569,2697,0.00612718
UBERON:0001013,2689,0.006109
HP:0003251,2687,0.00610446
MONDO:0012933,2679,0.00608628
UBERON:0018303,2673,0.00607265
UBERON:0001891,2671,0.00606811
UBERON:0002336,2656,0.00603403
UBERON:0001153,2645,0.00600904
GO:0055085,2637,0.00599087
UBERON:0003053,2635,0.00598632
EMAPA:32673,2628,0.00597042
EMAPA:16833,2604,0.0059159
UBERON:0000988,2591,0.00588636
EMAPA:17547,2571,0.00584093
EMAPA:18426,2559,0.00581366
HGNC:12468,2554,0.0058023
EMAPA:32678,2553,0.00580003
HGNC:5241,2550,0.00579322
UBERON:0001298,2543,0.00577731
UBERON:0005316,2536,0.00576141
EMAPA:17185,2512,0.00570689
HP:0000752,2509,0.00570007
HGNC:8031,2501,0.0056819
CL:0000775,2501,0.0056819
HGNC:1736,2496,0.00567054
EMAPA:32741,2492,0.00566145
GO:0005634,2487,0.00565009
CL:0000655,2468,0.00560692
HGNC:1591,2436,0.00553423
UBERON:0002372,2435,0.00553195
EMAPA:35998,2433,0.00552741
EMAPA:32711,2433,0.00552741
HP:0004322,2420,0.00549788
HGNC:9588,2420,0.00549788
UBERON:0001968,2412,0.0054797
UBERON:0000970,2408,0.00547061
GO:0006508,2408,0.00547061
EMAPA:16797,2407,0.00546834
HGNC:11195,2406,0.00546607
HGNC:3585,2406,0.00546607
