node,eigenvector_centrality
GO:0005515,0.0010223917
EMAPA:16894,0.0005977873
EMAPA:17373,0.0005639201
UBERON:0000992,0.0005437653
UBERON:0000473,0.0005430274
HGNC:31859,0.0005410792
EMAPA:17544,0.0005255742
EMAPA:16728,0.0005148858
EMAPA:16846,0.0005135385
EMAPA:17577,0.0005104394
EMAPA:16105,0.0005080203
EMAPA:16039,0.0005055903
EMAPA:17972,0.000499816
HGNC:18224,0.000490226
UBERON:0002106,0.0004803524
UBERON:0000948,0.0004698775
HGNC:7553,0.0004668272
CL:0000023,0.0004646483
EMAPA:16974,0.0004630917
UBERON:0002048,0.0004571852
UBERON:0001155,0.0004550222
EMAPA:32845,0.0004524067
EMAPA:17787,0.0004463845
UBERON:0002037,0.0004447797
UBERON:0000955,0.0004424333
HGNC:8607,0.000440903
UBERON:0002113,0.0004379912
UBERON:0002107,0.0004370774
CL:0000017,0.000431963
UBERON:0002385,0.0004309369
UBERON:0001134,0.0004221996
HGNC:3236,0.0004205314
CL:0000094,0.0004173042
CL:0000018,0.0004083066
HGNC:6407,0.0004041285
HGNC:3467,0.0003800715
EMAPA:16916,0.0003793064
EMAPA:16910,0.0003775859
ZFA:0001094,0.000376731
EMAPA:32809,0.0003735882
HGNC:14339,0.0003696819
EMAPA:17168,0.0003686109
EMAPA:17536,0.0003673799
EMAPA:17540,0.0003620991
HGNC:2553,0.0003604684
EMAPA:16470,0.0003508796
EMAPA:17962,0.0003450215
UBERON:0005418,0.0003432087
UBERON:0005417,0.0003422295
EMAPA:17021,0.0003396149
EMAPA:16198,0.0003395116
EMAPA:17549,0.0003381832
CL:0000501,0.0003361422
HGNC:11998,0.0003347189
HGNC:5241,0.0003294829
HGNC:1591,0.0003243959
HGNC:8031,0.0003226703
GO:0046872,0.0003220919
HGNC:24500,0.0003220416
UBERON:0000178,0.0003216701
EMAPA:16668,0.0003215692
EMAPA:18321,0.0003198012
EMAPA:17525,0.0003195988
HGNC:12932,0.0003130525
EMAPA:32842,0.0003049441
HGNC:3527,0.000304109
EMAPA:18767,0.0003009108
HGNC:30858,0.0002991001
HGNC:2514,0.000298273
HGNC:3468,0.0002952227
HGNC:3585,0.00029514
HGNC:620,0.0002901207
HGNC:13575,0.0002895199
EMAPA:17503,0.0002858899
EMAPA:16896,0.0002836117
HGNC:12468,0.0002810441
HGNC:11195,0.000280876
EMAPA:17606,0.0002791675
EMAPA:32673,0.000276217
HGNC:3312,0.0002749314
HGNC:9829,0.0002746073
HGNC:11370,0.0002714669
HGNC:5238,0.0002707042
HGNC:3188,0.0002699309
HP:0000007,0.0002692302
HGNC:7972,0.0002680214
HGNC:7559,0.0002674024
EMAPA:18426,0.0002636259
EMAPA:16833,0.0002626631
EMAPA:35998,0.0002597155
HGNC:19181,0.0002595072
HGNC:132,0.0002578854
HGNC:1100,0.0002567405
HGNC:3373,0.0002567026
HGNC:9949,0.0002566918
EMAPA:18768,0.0002562141
UBERON:0000451,0.000255834
UBERON:0001381,0.0002550138
EMAPA:17547,0.0002540193
EMAPA:17185,0.0002536644
HGNC:16384,0.0002515601
EMAPA:32741,0.0002507689
HGNC:1736,0.0002502554
HGNC:12666,0.0002500957
HGNC:4781,0.0002473639
HGNC:1985,0.0002456796
UBERON:0002190,0.0002452427
HGNC:950,0.0002452125
HGNC:12825,0.0002430466
HGNC:16110,0.0002402456
EMAPA:32672,0.0002367026
HGNC:270,0.0002353154
HGNC:7910,0.0002351896
EMAPA:32678,0.0002349041
ZFA:0001093,0.0002340089
EMAPA:17366,0.0002332259
