node,pagerank
UBERON:0000473,0.0031480805
GO:0003674,0.0022197497
GO:0006396,0.0021289569
GO:0008150,0.0020541116
GO:0005515,0.0014096558
HGNC:1101,0.0012210338
MONDO:0012933,0.0011381666
MGI:104735,0.0010912571
GO:0046872,0.0010619972
UBERON:0000991,0.0010537936
HGNC:1100,0.0009253191
MP:0002169,0.000923369
MONDO:0011450,0.0007912459
ZFA:0001094,0.0007344096
GO:0007165,0.0007070756
HGNC:10856,0.0006551475
HP:0000007,0.0006342442
UBERON:0002107,0.0006294757
GO:0008270,0.0006118681
GO:0000244,0.0005906744
GO:0000353,0.000570065
HP:0000006,0.0005645354
GO:0016740,0.0005596807
GO:0000166,0.0005390367
GO:0016787,0.0005377975
GO:0007186,0.000528818
UBERON:0000955,0.0005264368
GO:0003677,0.0005232006
UBERON:0000948,0.0005020329
GO:0030621,0.0004980188
UBERON:0000992,0.0004976774
UBERON:0002113,0.0004963921
EMAPA:16894,0.0004848048
UBERON:0000178,0.0004836604
HGNC:10471,0.0004702298
GO:0004930,0.0004590147
UBERON:0002106,0.0004530125
CL:0000094,0.0004399728
MONDO:0015967,0.0004382756
ZFA:0001093,0.0004374316
GO:0005524,0.0004371844
CL:0000023,0.000436783
HGNC:8582,0.0004347432
MP:0011100,0.0004225716
UBERON:0002037,0.0004221975
EMAPA:17373,0.0004219399
EMAPA:17972,0.0004162693
MONDO:0009861,0.0004113129
UBERON:0001134,0.0004089037
EMAPA:16039,0.0004003553
UBERON:0002048,0.0003945686
WBbt:0000100,0.000393922
MONDO:0005835,0.0003875709
UBERON:0015488,0.0003864278
EMAPA:16728,0.0003813608
CL:0000017,0.0003771625
CL:0000018,0.0003768416
MONDO:0011071,0.0003734801
HP:0004325,0.0003725236
EMAPA:16846,0.0003701365
UBERON:0001155,0.0003684312
EMAPA:16105,0.0003680268
EMAPA:17577,0.0003593333
EMAPA:17544,0.0003503696
GO:0006357,0.0003497107
UBERON:0002385,0.0003456705
FBbt:00000001,0.0003423987
GO:0006412,0.0003409792
FBbt:00003007,0.0003276572
GO:0006355,0.0003253935
CL:0000576,0.000314725
GO:0004984,0.0003095224
EMAPA:16974,0.0003056203
EMAPA:17787,0.0003030089
GO:0007608,0.0003018586
HGNC:31859,0.0002971259
MP:0002083,0.0002964389
EMAPA:32845,0.0002898916
UBERON:0000160,0.0002862376
GO:0050911,0.0002808043
GO:0003723,0.0002731588
HP:0001263,0.0002711273
GO:0030533,0.0002705874
UBERON:0003701,0.00026765
HGNC:3236,0.0002669571
UBERON:0000966,0.0002653095
MP:0001265,0.0002605362
UBERON:0000451,0.0002561012
HGNC:6407,0.000255313
GO:0000981,0.000255063
UBERON:0018303,0.0002530788
EMAPA:17962,0.0002520159
HGNC:18224,0.0002517391
FYPO:0002060,0.0002514382
HP:0001249,0.0002506066
UBERON:0002114,0.0002485711
UBERON:0002336,0.0002479719
UBERON:0004533,0.0002459227
HGNC:7553,0.0002445652
HP:0003251,0.0002423351
EMAPA:16910,0.0002417954
HGNC:8607,0.0002410356
UBERON:0004534,0.0002396202
EMAPA:17168,0.0002394066
EMAPA:16916,0.0002386968
GO:0016491,0.0002367937
HGNC:7127,0.000236158
HP:0001250,0.0002359272
EMAPA:16470,0.0002353055
GO:0055085,0.0002345064
HGNC:4195,0.0002340455
EMAPA:17021,0.0002338791
EMAPA:17536,0.0002334104
EMAPA:16668,0.000232911
GO:0000978,0.0002305679
EMAPA:17540,0.0002281493
UBERON:0000082,0.0002275125
EMAPA:32809,0.0002273726
UBERON:0001898,0.000226593
HGNC:11998,0.0002246795
CL:0000501,0.0002231121
HGNC:620,0.0002220117
UBERON:0001954,0.0002214174
HGNC:6547,0.000221005
CL:0000738,0.0002205212
HP:0000752,0.0002187011
UBERON:0001114,0.0002185502
EMAPA:16198,0.0002180379
EMAPA:18767,0.0002155752
GO:0016301,0.0002151104
EMAPA:18321,0.0002143364
FYPO:0002177,0.0002089731
HGNC:9588,0.0002084559
UBERON:0005386,0.0002081241
UBERON:0000007,0.0002080683
UBERON:0005417,0.0002078101
UBERON:0005418,0.0002076794
HGNC:12932,0.000207063
HP:0001252,0.000206878
UBERON:0001381,0.0002065773
EMAPA:17525,0.0002053831
HGNC:3467,0.0002050878
HGNC:7325,0.0002045964
MP:0011110,0.0002012109
UBERON:0002190,0.0002003273
HP:0008897,0.0001999889
CL:0000775,0.0001999531
UBERON:0001401,0.0001998653
UBERON:0010533,0.000198265
MONDO:0100326,0.0001965449
HGNC:24500,0.0001965362
EMAPA:17606,0.0001959406
HGNC:11621,0.0001958079
UBERON:0001891,0.0001956422
GO:0042802,0.0001954988
WB:WBGene00001569,0.0001944263
UBERON:0001153,0.000194257
HGNC:1884,0.0001930918
GO:0045944,0.0001924063
GO:0006508,0.0001915648
EMAPA:17549,0.0001913916
UBERON:0000970,0.0001894914
HGNC:2553,0.0001869918
HGNC:2514,0.0001868416
UBERON:0002509,0.0001849615
WB:WBGene00001186,0.0001827421
UBERON:0000945,0.0001810777
