dataset,category,identifier_types
CiVIC,gene,"HGNC_Symbol, NCBIGene"
CiVIC,disease,Orphanet
CiVIC,protein,PDB
CiVIC,compound,PubChem_CID
CiVIC,taxonomy,NCBITaxon
CiVIC2,gene,"HGNC_Symbol, NCBIGene"
CiVIC2,disease,"OMIM, Orphanet, SNOMED"
CiVIC2,protein,PDB
CiVIC2,compound,"PubChem_CID, RxCUI"
CiVIC2,taxonomy,NCBITaxon
CiVIC3,gene,"HGNC_Symbol, NCBIGene"
CiVIC3,disease,Orphanet
CiVIC4,gene,"HGNC_Symbol, NCBIGene"
CiVIC4,disease,"Orphanet, SNOMED"
CiVIC4,protein,PDB
CiVIC4,compound,PubChem_CID
CiVIC4,taxonomy,NCBITaxon
CiVIC5,gene,HGNC_Symbol
CiVIC5,disease,Orphanet
CiVIC6,gene,"HGNC_Symbol, NCBIGene"
CiVIC6,disease,"OMIM, Orphanet, SNOMED"
CiVIC6,protein,PDB
CiVIC6,compound,"PubChem_CID, RxCUI"
CiVIC6,taxonomy,NCBITaxon
ClinGPX2,gene,"HGNC_Symbol, NCBIGene"
ClinGPX2,disease,"MeSH, OMIM, Orphanet, SNOMED"
ClinGPX2,protein,PDB
ClinGPX2,compound,"InChI, PubChem_CID, RxCUI, SMILES"
ClinGPX2,taxonomy,NCBITaxon
ClinGPX3,gene,"Ensembl_Gene, HGNC, HGNC_Symbol, NCBIGene"
ClinGPX3,disease,"OMIM, Orphanet, SNOMED"
ClinGPX3,protein,PDB
ClinGPX3,compound,"PubChem_CID, RxCUI"
ClinGPX3,taxonomy,NCBITaxon
ClinGPX4,gene,HGNC_Symbol
ClinGPX5,gene,HGNC_Symbol
ClinGPX5,disease,Orphanet
ClinGPX5,compound,SMILES
ClinGPX5,variant,dbSNP
ClinPGX,gene,"HGNC_Symbol, NCBIGene"
ClinPGX,disease,"MeSH, OMIM, Orphanet, SNOMED"
ClinPGX,compound,"InChI, PubChem_CID, RxCUI, SMILES"
ClinPGX,taxonomy,NCBITaxon
DGIDB,gene,HGNC_Symbol
DGIDB2,gene,"HGNC_Symbol, NCBIGene"
DGIDB2,disease,SNOMED
DGIDB2,compound,PubChem_CID
DGIDB3,gene,"HGNC, HGNC_Symbol, NCBIGene"
DGIDB3,disease,Orphanet
DGIDB3,compound,SMILES
DGIDB4,gene,"HGNC, HGNC_Symbol"
DIDA,gene,HGNC_Symbol
DIDA2,gene,HGNC_Symbol
DIDA2,disease,Orphanet
DIDA2,pathway,KEGG_Pathway
DIDA3,gene,HGNC_Symbol
DIDA4,gene,HGNC_Symbol
DIDA4,variant,HGVS_coding
DIDA5,gene,"HGNC_Symbol, NCBIGene"
DIDA5,disease,"Orphanet, SNOMED"
DIDA5,compound,PubChem_CID
DIDA5,variant,HGVS_coding
DrugCentral,gene,HGNC_Symbol
DrugCentral,disease,Orphanet
Gene2Phenotype,gene,"HGNC_Symbol, NCBIGene"
Gene2Phenotype,disease,"MONDO, OMIM, Orphanet, SNOMED"
Gene2Phenotype,phenotype,HPO
Gene2Phenotype,protein,PDB
Gene2Phenotype,compound,"PubChem_CID, RxCUI"
Gene2Phenotype,taxonomy,NCBITaxon
Gene2Phenotype2,gene,"HGNC_Symbol, NCBIGene"
Gene2Phenotype2,disease,"MONDO, OMIM, Orphanet, SNOMED"
Gene2Phenotype2,protein,PDB
Gene2Phenotype2,compound,"PubChem_CID, RxCUI"
Gene2Phenotype2,taxonomy,NCBITaxon
Gene2Phenotype3,gene,"HGNC_Symbol, NCBIGene"
Gene2Phenotype3,disease,"MONDO, OMIM, Orphanet, SNOMED"
Gene2Phenotype3,protein,PDB
Gene2Phenotype3,compound,"PubChem_CID, RxCUI"
Gene2Phenotype3,taxonomy,NCBITaxon
Gene2Phenotype4,gene,"HGNC_Symbol, NCBIGene"
Gene2Phenotype4,disease,"MONDO, OMIM, Orphanet, SNOMED"
Gene2Phenotype4,protein,PDB
Gene2Phenotype4,compound,"PubChem_CID, RxCUI"
Gene2Phenotype4,taxonomy,NCBITaxon
Gene2Phenotype5,gene,"HGNC_Symbol, NCBIGene"
Gene2Phenotype5,disease,"MONDO, OMIM, Orphanet, SNOMED"
Gene2Phenotype5,protein,PDB
Gene2Phenotype5,compound,"PubChem_CID, RxCUI"
Gene2Phenotype5,taxonomy,NCBITaxon
Gene2Phenotype6,gene,"HGNC_Symbol, NCBIGene"
Gene2Phenotype6,disease,"MONDO, OMIM, Orphanet, SNOMED"
Gene2Phenotype6,protein,PDB
