Year,Total_Nodes,Total_Connections,Average_Connections_Per_Node
1995,18572,13268,1.43
1996,40611,39766,1.96
1997,62325,79774,2.56
1998,83299,132872,3.19
1999,103122,198792,3.86
2000,121715,277964,4.57
2001,139271,370486,5.32
2002,156168,476146,6.1
2003,172135,594531,6.91
2004,187441,726232,7.75
2005,202207,870168,8.61
2006,216529,1026819,9.48
2007,230405,1195265,10.38
2008,244221,1377165,11.28
2009,257673,1571213,12.2
2010,270858,1776854,13.12
2011,284005,1995415,14.05
2012,297203,2224734,14.97
2013,310272,2466575,15.9
2014,323274,2720742,16.83
2015,336143,2985586,17.76
2016,349229,3261698,18.68
2017,362296,3549108,19.59
2018,375495,3848010,20.5
2019,388427,4157651,21.41
2020,401522,4477285,22.3
2021,414589,4806751,23.19
2022,427380,5146890,24.09
2023,440171,5496693,24.98
