"GENE_NAME","CHROMOSOME","UNIPROT_ACC","GO_MOLECULAR_FUNCTION","REACTOME_ID","KEGG_ID","INTERPRO_ID","PFAM_ID","INTACT_ID","BIOGRID_ID","CONSENSUSPATH_ID","GDI","P_HI","P_REC","ESSENTIAL_GENE","GENATLAS_TISSUE","lastmodified"
"ABCC6","16","O95255","ATPase activity, coupled to transmembrane movement of substances ; ATPase-coupled anion transmembrane transporter activity ; ATP binding ; transporter activity","R-HSA-382556;","hsa02010","IPR003593;IPR011527;IPR003439;IPR017871;IPR030239;IPR005292;IPR027417;","PF00664;PF00005;","A1BG;CRYL1;NR4A1;AK2;FURIN;","A1BG;CRYL1;NR4A1;AK2;FURIN;","A1BG;AK2;NR4A1;FURIN;CRYL1;VCL","2678.21","0.13",NULL,"N","dorsal root ganglion;fetal liver;superior cervical ganglion;cerebellum peduncles;liver;ciliary ganglion;atrioventricular node;kidney;trigeminal ganglion;skeletal muscle;","2017-06-22 00:00:00"
"ABCC9","12","O60706","ATPase activity, coupled to transmembrane movement of substances ; ATPase-coupled anion transmembrane transporter activity ; ATP binding ; ion channel binding ; potassium channel activity ; potassium channel regulator activity ; sulfonylurea receptor activity ; transporter activity","R-HSA-1296025;R-HSA-382556;R-HSA-5578775;","hsa02010","IPR003593;IPR011527;IPR003439;IPR017871;IPR001475;IPR027417;IPR000388;","PF00664;PF00005;","EEF1G;KCNJ11;","LDHA;HSPB2;EEF1G;","KCNJ11;PPARA;NCOA1;MED1;EP300;PPARGC1A;MED24;CREBBP;NCOA6;TGS1;WRB;LDHA;STX1A;KCNJ8;EEF1G","117.12","0.11","0.16","N","dorsal root ganglion;superior cervical ganglion;appendix;ciliary ganglion;pons;atrioventricular node;trigeminal ganglion;skeletal muscle;","2017-06-22 00:00:00"
"ALAD","9","P13716","catalytic activity ; identical protein binding ; porphobilinogen synthase activity ; zinc ion binding","R-HSA-189451;R-HSA-6798695;","hsa00860","IPR001731;IPR030656;IPR013785;","PF00490;",NULL,"GPN1;DBNL;PPME1;AGFG1;LPP;STAT5B;LAP3;HSPBP1;ACTR2;P3H1;TOM1L1;WDR4;CNN2;SURF2;C14orf142;ZPR1;OGT;RPRD1B;","AGFG1;ACTR2;DBNL;LAP3;P3H1;LPP;C14orf142;GPN1;HSPBP1;OGT;PPME1;RPRD1B;SURF2;TOM1L1;WDR4;ZPR1;CNN2;KPNA6;KPNA5","471.55","0.12","0.56",NULL,"fetal liver;thalamus;superior cervical ganglion;olfactory bulb;adrenal gland;hypothalamus;caudate nucleus;parietal lobe;","2017-06-22 00:00:00"
"ARL6","3","Q9H0F7","GTP binding ; metal ion binding ; phospholipid binding","R-HSA-5620922;",NULL,"IPR027417;IPR005225;IPR024156;IPR006689;","PF00025;","BBS1;BBS4;BBS2;BBIP1;BBS7;BBS9;TTC8;","ARL6IP1;SEC61B;ATL2;ARL6IP6;ARL6IP4;ARL6IP5;","BBS1;BBS2;BBS7;BBS4;BBS4;BBS1;BBS2;BBS7;BBS9;BBS4;TTC8;BBS2;BBIP1;SEC61B;ARL6IP5;ARL6IP4;ARL6IP1;ARL6IP6;ATL2","24.13","0.08","0.21","N","dorsal root ganglion;superior cervical ganglion;testis - seminiferous tubule;ciliary ganglion;atrioventricular node;trigeminal ganglion;","2017-06-22 00:00:00"
"ATP2B2","3","Q01814","ATP binding ; calcium-dependent ATPase activity ; calcium ion binding ; calcium-transporting ATPase activity ; calmodulin binding ; metal ion binding ; PDZ domain binding ; protein C-terminus binding","R-HSA-418359;R-HSA-5578775;R-HSA-936837;","hsa04020","IPR030322;IPR022141;IPR006068;IPR004014;IPR023299;IPR018303;IPR023298;IPR008250;IPR023214;IPR006408;IPR001757;","PF12424;PF00689;PF00690;PF08282;","CALCA;YWHAE;SLC9A3R2;DLG1;","MYH15;DPH6;NUFIP1;LGR4;DNAAF2;DLG3;HSD17B6;TAS2R7;SDF4;DLG2;DLG1;EFNB2;GGH;DHRS9;LGALS8;SRPRB;DGUOK;PTGFR;TRABD;SLAMF1;HLA-DQA1;ERBB2IP;GINM1;SCARA3;VSIG4;SPACA1;HLA-DRA;SNTA1;","NOS3;ERBB2IP;SNTA1;CALCA;ATP2B4;DLG1;SLC9A3R2;CALCA;YWHAE;DLG2;DLG4;PDZD11;PRKCA;DLG3;LGR4;HLA-DQA1;HLA-DRA;EFNB2;DPH6;SRPRB;NUFIP1;DGUOK;DNAAF2;SPACA1;LGALS8;TAS2R7;GGH;HSD17B6;TRABD;GINM1;PTGFR;SDF4;SLAMF1;DHRS9;VSIG4;SCARA3","96.26","0.7","0.18","N","whole brain;amygdala;thalamus;medulla oblongata;superior cervical ganglion;occipital lobe;cerebellum peduncles;hypothalamus;temporal lobe;caudate nucleus;pons;subthalamic nucleus;fetal brain;prefrontal cortex;globus pallidus;ciliary ganglion;trigeminal ganglion;cingulate cortex;parietal lobe;cerebellum;","2017-06-22 00:00:00"
"ATP2B3","X","Q16720","ATP binding ; calcium ion transmembrane transporter activity ; calcium-transporting ATPase activity ; calmodulin binding ; metal ion binding ; PDZ domain binding","R-HSA-418359;R-HSA-5578775;R-HSA-936837;","hsa04020","IPR030325;IPR022141;IPR006068;IPR004014;IPR023299;IPR018303;IPR023298;IPR008250;IPR023214;IPR006408;IPR001757;","PF12424;PF00689;PF00690;PF08282;","YWHAE;FOXR1;","HM13;PRKAG1;TSPAN5;CD1B;LGALS8;PARK2;DGUOK;PTGFR;PNPLA4;CANX;SLAMF1;LGR4;P2RY8;CSGALNACT1;AGTR1;CLGN;COX2;TXNDC15;HSD17B6;CTDSP2;TERF2;CD27;","YWHAE;TERF2;PARK2;LGR4;PNPLA4;CD27;CTDSP2;CD1B;TSPAN5;DGUOK;LGALS8;PRKAG1;CSGALNACT1;HSD17B6;AGTR1;PTGFR;TXNDC15;SLAMF1;P2RY8","105.23","0.37","0.15",NULL,"amygdala;dorsal root ganglion;whole brain;medulla oblongata;superior cervical ganglion;cerebellum peduncles;temporal lobe;skeletal muscle;subthalamic nucleus;prefrontal cortex;globus pallidus;ciliary ganglion;parietal lobe;cingulate cortex;cerebellum;","2017-06-22 00:00:00"
"BAAT","9","Q14032","carboxylic ester hydrolase activity ; glycine N-choloyltransferase activity ; long-chain acyl-CoA hydrolase activity ; medium-chain acyl-CoA hydrolase activity ; myristoyl-CoA hydrolase activity ; N-acyltransferase activity ; palmitoyl-CoA hydrolase activity ; receptor binding ; transferase activity, transferring acyl groups ; very long chain acyl-CoA hydrolase activity","R-HSA-159418;R-HSA-193368;","hsa00120;hsa00430;hsa01040","IPR029058;IPR016662;IPR014940;IPR006862;","PF08840;PF04775;","PTPRJ;DLC1;ODC1;BCL10;ERBB2;SMAD4;MLH1;AURKA;RB1;MLH3;CTNNA1;SRC;GOLGA8DP;MUTYH;CDKN2A;GOLGA8F;PDGFRL;BUB1;RAD54B;MCC;APC;","GOLGA8DP;GOLGA8EP;GOLGA8F;PEX5;","GOLGA8F;ERBB2;SMAD4;RB1;PTPRJ;BCL10;MCC;MUTYH;AURKA;CTNNA1;RAD54B;SRC;MLH1;GOLGA8DP;APC;ODC1;CDKN2A;DLC1;MLH3;BUB1;PDGFRL;SLC7A11;PEX5","45.87","0.04","0.11",NULL,"superior cervical ganglion;heart;liver;ciliary ganglion;atrioventricular node;trigeminal ganglion;skeletal muscle;","2017-06-22 00:00:00"
"BBS1","11","Q8NFJ9","patched binding ; RNA polymerase II repressing transcription factor binding ; smoothened binding","R-HSA-5620922;",NULL,"IPR028784;IPR032728;IPR011047;IPR015943;","PF14779;","BBS4;BBS5;EXOC7;BBS7;BBS9;ALDOB;TTC8;PAX2;HSCB;RAB3IP;CALCA;NUDCD3;EIF3A;BBIP1;NUDC;ACTB;EEF1A1;EPAS1;FLOT1;BBS12;PCM1;ARL6;PARK7;DCTN1;BBS2;KRT18;BHMT;TM4SF20;FHOD1;","EEF1A1;EPAS1;EXOC7;GLIS2;ALDOB;TSPAN7;KEAP1;PRKCSH;PAX2;TSSC1;LZTFL1;HSCB;PARK7;DCTN1;CALCA;EIF3A;KRT18;WDR53;BHMT;OSBPL10;FHOD1;","BBS4;BBIP1;BBS2;BBS7;BBS4;BBS2;BBS7;CALCA;BBS7;ARL6;BHMT;ALDOB;BBS9;BBS4;BBS7;TTC8;BBS2;EIF3A;BBS12;BBS9;BBS4;TTC8;BBS7;BBS5;BBS2;NUDC;BBS2;BBS7;DCTN1;BBS7;BBS2;BBS5;BBS9;BBS4;TTC8;NUDCD3;BBS9;BBS4;ARL6;BBS2;BBS7;PAX2;RAB3IP;EXOC7;EEF1A1;PARK7;BBS4;BBS2;FLOT1;EPAS1;BBS5;BBS2;CCT2;BBS10;TTC8;CCT3;BBS7;BBS4;BBS9;CCT4;TCP1;MKKS;KRT18;HSCB;TM4SF20;BBS7;BBS2;BBS9;BBS4;BBS5;BBS2;BBS4;ACTB;BBS2;BBS5;BBS4;BBS7;FHOD1;BBS4;BBS7;TTC8;BBS2;CCDC28B;BBS5;KEAP1;OSBPL10;TSPAN7;GLIS2;LZTFL1;WDR53;TSSC1;PRKCSH","2.96",NULL,NULL,"E","superior cervical ganglion;liver;prefrontal cortex;ciliary ganglion;pons;atrioventricular node;kidney;caudate nucleus;trigeminal ganglion;cingulate cortex;cerebellum;","2017-06-22 00:00:00"
"BBS10","12","Q8TAM1","ATP binding ; RNA polymerase II repressing transcription factor binding","R-HSA-5620922;",NULL,"IPR002423;IPR027413;","PF00118;","TCP1;BBS7;BBS9;NR4A1;CCT2;CCT3;BBS12;FRZB;MAP3K7;PTK2;TNFSF11;MAPK6;RGS2;CSNK1E;MAPK8IP2;MKKS;YAE1D1;RASA1;HDAC6;","MAP3K7;XPO1;PTK2;TNFSF11;RGS2;MAPK6;CSNK1E;MAPK8IP2;NR4A1;FRZB;YAE1D1;RASA1;HDAC6;","MAPK6;BBS7;BBS12;MKKS;TNFSF11;RASA1;BBS9;MAPK8IP2;BBS7;MAP3K7;BBS5;BBS2;BBS1;CCT2;TTC8;CCT3;BBS7;BBS4;BBS9;CCT4;TCP1;MKKS;NR4A1;BBS12;MKKS;BBS12;TCP1;MKKS;BBS7;CCT2;YAE1D1;CSNK1E;PTK2;BBS2;MKKS;HDAC6;FRZB;RGS2;CCT3;CCT2;BBS12;MKKS;TCP1;BBS7;MKKS;BBS2;BBS12;MKKS","81.48","0.1","0.15",NULL,NULL,"2017-06-22 00:00:00"
"BBS12","4","Q6ZW61","ATP binding ; protein binding involved in protein folding ; unfolded protein binding","R-HSA-5620922;",NULL,"IPR002423;IPR027409;IPR027413;","PF00118;","BBS1;BBS2;BBS4;BBS7;BBS9;MKKS;BBS10;",NULL,"BBS4;BBS1;BBS7;MKKS;BBS7;BBS10;MKKS;BBS9;CCT5;TCP1;MKKS;CCT2;CCT8;CCT3;BBS7;CCT4;MKKS;BBS10;MKKS;BBS10;BBS2;BBS7;CCT3;CCT2;BBS10;MKKS;TCP1;BBS7;MKKS;BBS2;BBS10;CCT5;CCT4;TCP1;CCT2;CCT8;CCT3","623.03","0.05","0.17",NULL,"dorsal root ganglion;testis - interstitial;superior cervical ganglion;medulla oblongata;globus pallidus;ciliary ganglion;atrioventricular node;pons;trigeminal ganglion;parietal lobe;skeletal muscle;cerebellum;","2017-06-22 00:00:00"
